GHG emissions from fuel combustion - Coal,,,,,,,Source:,,"IEA (2021), GHG Emissions from Energy",,,,,,,,,,,,,,"IEA, All rights reserved ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Documentation:,,Accessible here,,,,,,,,,,,,,,https://www.iea.org/terms,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to the table of contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
million tonnes of CO2 eq,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World, 5 297, 5 373, 5 574, 5 603, 5 717, 5 947, 6 134, 6 295, 6 571, 6 677, 6 737, 6 770, 6 945, 7 258, 7 485, 7 563, 7 880, 8 143, 8 238, 8 386, 8 338, 8 215, 8 235, 8 244, 8 588, 8 654, 8 701, 8 709, 8 533, 9 003, 9 242, 9 434, 10 160, 10 827, 11 535, 12 182, 12 867, 13 022, 13 019, 13 927, 14 686, 14 817, 15 167, 15 193, 14 719, 14 475, 14 718, 15 083, 14 892,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annex I Parties ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.., 5 261, 5 094, 4 915, 4 768, 4 664, 4 717, 4 783, 4 750, 4 658, 4 601, 4 807, 4 810, 4 732, 4 860, 4 849, 4 833, 4 883, 4 958, 4 783, 4 283, 4 514, 4 427, 4 273, 4 268, 4 136, 3 874, 3 680, 3 602, 3 510, 3 138,..
   Annex II Parties   , 2 733, 2 719, 2 829, 2 794, 2 691, 2 839, 2 873, 2 830, 3 014, 3 057, 3 155, 3 100, 3 175, 3 276, 3 418, 3 342, 3 429, 3 529, 3 563, 3 580, 3 528, 3 452, 3 423, 3 437, 3 486, 3 572, 3 631, 3 593, 3 547, 3 723, 3 744, 3 681, 3 768, 3 788, 3 793, 3 770, 3 830, 3 672, 3 274, 3 444, 3 316, 3 157, 3 206, 3 124, 2 864, 2 665, 2 610, 2 479, 2 145,..
      North America      , 1 177, 1 238, 1 309, 1 301, 1 293, 1 381, 1 434, 1 419, 1 505, 1 524, 1 605, 1 544, 1 629, 1 725, 1 773, 1 728, 1 809, 1 900, 1 916, 1 944, 1 934, 1 941, 1 984, 1 992, 2 050, 2 129, 2 228, 2 211, 2 194, 2 310, 2 309, 2 222, 2 261, 2 281, 2 302, 2 267, 2 303, 2 250, 1 971, 2 085, 1 967, 1 736, 1 790, 1 782, 1 542, 1 432, 1 401, 1 328, 1 132,..
      Europe      , 1 273, 1 189, 1 220, 1 189, 1 095, 1 155, 1 140, 1 137, 1 218, 1 223, 1 225, 1 216, 1 216, 1 194, 1 265, 1 245, 1 244, 1 227, 1 234, 1 195, 1 145, 1 062,  985,  979,  957,  947,  897,  884,  839,  870,  876,  879,  912,  896,  872,  885,  891,  802,  693,  727,  739,  794,  774,  714,  692,  606,  580,  544,  414,..
      Asia Oceania,  282,  292,  299,  304,  304,  303,  300,  274,  291,  310,  325,  340,  331,  357,  380,  369,  376,  402,  412,  442,  448,  449,  455,  466,  480,  496,  506,  498,  515,  543,  559,  579,  595,  611,  619,  618,  637,  620,  610,  632,  609,  626,  642,  628,  630,  627,  630,  608,  598,..
   Annex I EIT   ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.., 1 618, 1 499, 1 395, 1 281, 1 164, 1 165, 1 134, 1 035,  980,  974,  992,  989,  971, 1 006,  971,  950, 1 007, 1 007,  993,  887,  942,  978,  977,  940,  877,  874,  862,  834,  868,  829,..
Non-Annex I Parties ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.., 3 124, 3 244, 3 300, 3 467, 3 580, 3 871, 3 871, 3 951, 4 051, 3 933, 4 196, 4 432, 4 702, 5 300, 5 978, 6 702, 7 299, 7 909, 8 239, 8 736, 9 413, 10 259, 10 544, 10 900, 11 058, 10 844, 10 795, 11 116, 11 573, 11 753,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annex B Kyoto Parties,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.., 2 399, 2 286, 2 176, 2 042, 1 960, 1 905, 1 862, 1 771, 1 734, 1 652, 1 681, 1 695, 1 696, 1 773, 1 756, 1 718, 1 773, 1 807, 1 725, 1 550, 1 605, 1 632, 1 671, 1 622, 1 512, 1 436, 1 367, 1 331, 1 289, 1 107,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD Total, 3 245, 3 239, 3 361, 3 337, 3 247, 3 426, 3 479, 3 465, 3 668, 3 728, 3 806, 3 771, 3 862, 4 004, 4 172, 4 108, 4 218, 4 305, 4 314, 4 291, 4 226, 4 117, 4 089, 4 090, 4 150, 4 278, 4 341, 4 274, 4 206, 4 433, 4 452, 4 377, 4 494, 4 525, 4 528, 4 550, 4 628, 4 476, 4 079, 4 308, 4 211, 4 039, 4 064, 3 976, 3 734, 3 536, 3 497, 3 356, 2 979, 2 584
Non-OECD Total, 2 052, 2 134, 2 213, 2 266, 2 470, 2 522, 2 655, 2 830, 2 903, 2 949, 2 930, 2 999, 3 084, 3 255, 3 314, 3 455, 3 662, 3 839, 3 924, 4 095, 4 112, 4 098, 4 146, 4 155, 4 438, 4 376, 4 360, 4 435, 4 327, 4 570, 4 790, 5 057, 5 666, 6 302, 7 007, 7 632, 8 239, 8 546, 8 940, 9 619, 10 475, 10 778, 11 104, 11 217, 10 984, 10 939, 11 221, 11 726, 11 913,..
International marine bunkers,  0,  0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,  0,x,x,x,..
International aviation bunkers,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Canada,  64.4,  59.7,  60.4,  59.1,  59.4,  65.2,  69.8,  70.7,  76.0,  82.5,  82.1,  87.7,  95.5,  105.0,  101.3,  93.3,  100.3,  108.4,  108.8,  96.6,  101.6,  104.8,  96.1,  99.4,  101.1,  103.0,  109.6,  116.4,  117.0,  126.5,  123.9,  120.7,  119.8,  113.5,  111.8,  110.0,  118.3,  108.5,  90.3,  93.1,  87.8,  80.3,  76.6,  74.8,  69.5,  69.6,  69.9,  58.3,  53.9,  42.0
Chile,  5.2,  4.4,  4.7,  4.6,  3.6,  3.7,  3.9,  3.9,  4.3,  4.9,  4.9,  3.2,  3.8,  5.2,  5.0,  5.2,  5.0,  7.1,  9.3,  9.9,  8.0,  7.2,  7.0,  8.5,  8.9,  12.4,  16.1,  15.2,  15.7,  11.7,  9.2,  9.4,  9.1,  10.5,  10.3,  13.5,  13.1,  16.2,  15.2,  17.6,  21.5,  24.8,  28.2,  24.3,  27.9,  29.4,  29.6,  28.3,  31.7,  23.9
Mexico,  5.2,  5.8,  6.5,  6.8,  6.7,  7.3,  8.0,  8.3,  8.0,  7.4,  7.9,  8.2,  11.3,  11.2,  11.7,  12.1,  13.2,  11.9,  13.4,  15.2,  14.9,  14.9,  18.1,  20.0,  21.9,  24.8,  25.4,  26.0,  25.6,  26.5,  30.2,  34.5,  43.9,  39.5,  48.3,  52.5,  47.0,  42.9,  42.5,  53.8,  58.0,  50.9,  51.6,  50.4,  55.3,  48.6,  51.3,  44.0,  42.8,  25.3
United States, 1 112.8, 1 178.3, 1 249.1, 1 241.7, 1 233.4, 1 315.3, 1 363.8, 1 348.6, 1 429.1, 1 441.3, 1 523.0, 1 455.8, 1 533.4, 1 619.9, 1 671.2, 1 635.1, 1 708.4, 1 791.7, 1 807.6, 1 847.1, 1 832.8, 1 836.6, 1 887.7, 1 893.0, 1 948.6, 2 026.1, 2 118.7, 2 094.3, 2 076.7, 2 183.1, 2 185.0, 2 101.7, 2 141.7, 2 167.8, 2 190.0, 2 156.8, 2 184.7, 2 141.3, 1 880.2, 1 992.0, 1 879.1, 1 656.1, 1 713.6, 1 707.2, 1 472.4, 1 362.8, 1 330.8, 1 269.4, 1 077.8,  885.1
OECD Americas, 1 193.7, 1 254.3, 1 327.1, 1 320.0, 1 309.8, 1 399.0, 1 453.0, 1 440.5, 1 526.4, 1 545.0, 1 626.7, 1 563.6, 1 652.8, 1 750.3, 1 799.5, 1 756.7, 1 838.9, 1 930.3, 1 951.4, 1 981.1, 1 970.1, 1 976.7, 2 023.9, 2 035.0, 2 094.7, 2 178.3, 2 282.3, 2 263.8, 2 244.9, 2 360.0, 2 360.5, 2 277.7, 2 326.0, 2 340.8, 2 371.1, 2 342.6, 2 373.4, 2 318.9, 2 040.7, 2 167.4, 2 059.2, 1 822.2, 1 886.0, 1 873.2, 1 640.8, 1 526.2, 1 494.5, 1 414.3, 1 223.8,  995.4
Australia,  75.7,  79.7,  82.0,  87.4,  93.3,  93.4,  101.3,  93.3,  97.6,  107.1,  108.3,  113.1,  106.1,  108.8,  119.9,  118.3,  126.4,  131.7,  141.0,  141.5,  146.3,  149.4,  150.4,  152.7,  157.2,  164.2,  170.4,  188.6,  190.3,  191.0,  196.1,  197.8,  196.2,  204.9,  209.1,  212.4,  214.0,  211.6,  217.6,  202.9,  194.3,  189.4,  176.9,  168.1,  173.7,  179.8,  178.6,  171.0,  166.2,  157.0
Israel,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  2.3,  4.2,  6.7,  7.4,  8.1,  8.7,  8.6,  9.2,  9.5,  10.2,  12.5,  14.2,  15.1,  16.5,  19.7,  21.7,  23.3,  22.9,  25.7,  28.9,  30.2,  31.1,  31.2,  29.7,  30.7,  32.1,  30.4,  29.4,  29.5,  30.6,  33.8,  28.2,  26.3,  25.7,  22.0,  19.9,  18.7,  19.8,  18.5
Japan,  202.8,  207.9,  212.7,  212.4,  206.3,  205.1,  194.3,  176.1,  189.4,  199.1,  213.0,  223.3,  220.1,  244.3,  256.0,  247.1,  245.2,  265.4,  266.9,  297.2,  298.9,  295.9,  300.7,  309.6,  319.4,  328.2,  331.6,  304.7,  320.0,  347.4,  357.4,  376.1,  391.2,  397.8,  401.4,  396.8,  415.7,  399.6,  386.4,  423.5,  409.7,  429.9,  458.8,  454.5,  450.6,  442.0,  446.0,  431.7,  426.1,  412.9
Korea,  23.8,  24.6,  30.6,  32.6,  34.2,  37.1,  40.2,  41.0,  46.8,  53.4,  59.9,  60.5,  65.9,  79.9,  87.7,  91.9,  91.7,  97.3,  93.0,  93.8,  94.3,  88.7,  96.7,  101.9,  107.3,  122.8,  132.7,  136.7,  143.0,  181.4,  194.6,  183.8,  186.3,  201.2,  201.2,  211.6,  217.7,  243.8,  260.4,  285.8,  307.7,  300.2,  293.5,  300.0,  312.9,  304.8,  314.5,  316.9,  300.9,  291.7
New Zealand,  4.0,  4.2,  4.6,  4.6,  4.3,  4.5,  4.2,  4.4,  3.8,  4.0,  4.0,  4.0,  4.4,  4.4,  4.0,  3.5,  4.2,  4.9,  4.3,  3.4,  3.2,  3.5,  3.5,  3.3,  3.3,  3.2,  3.9,  4.5,  4.7,  4.5,  5.6,  5.5,  8.1,  8.2,  9.0,  9.0,  6.8,  8.4,  6.4,  5.6,  5.5,  7.0,  6.2,  5.7,  5.8,  4.8,  5.1,  5.3,  6.1,  6.8
OECD Asia Oceania,  306.3,  316.4,  329.9,  336.9,  338.1,  340.0,  339.9,  314.7,  337.5,  363.6,  385.1,  403.1,  400.6,  444.1,  475.0,  468.9,  476.1,  507.8,  514.5,  545.5,  552.9,  550.0,  565.4,  582.6,  603.7,  638.1,  660.3,  657.9,  680.9,  750.0,  782.6,  793.5,  812.8,  843.3,  850.3,  860.5,  886.4,  893.8,  900.2,  947.2,  947.8,  960.4,  963.5,  954.6,  968.6,  953.3,  964.1,  943.6,  919.2,  886.9
Austria,  16.7,  15.6,  15.7,  16.3,  14.2,  15.1,  12.7,  13.2,  14.3,  14.5,  15.5,  14.8,  15.6,  17.7,  17.8,  15.7,  15.6,  14.7,  14.7,  16.8,  17.8,  13.8,  12.4,  12.7,  14.5,  14.1,  14.9,  13.2,  13.3,  15.1,  15.8,  15.8,  16.9,  16.9,  16.4,  16.3,  15.9,  15.2,  11.4,  14.2,  14.8,  13.7,  14.3,  13.1,  12.6,  11.7,  11.9,  10.3,  10.8,  9.0
Belgium,  45.1,  47.0,  48.2,  52.3,  39.3,  40.9,  40.5,  41.7,  42.6,  42.3,  41.7,  41.3,  37.6,  41.9,  39.7,  35.8,  35.8,  37.4,  38.9,  40.7,  39.7,  36.0,  34.0,  36.7,  35.0,  33.3,  31.8,  31.3,  27.8,  30.4,  29.4,  24.6,  23.9,  22.1,  20.7,  19.4,  17.5,  18.0,  10.8,  14.1,  13.1,  12.1,  13.2,  12.5,  12.4,  11.8,  11.5,  11.4,  11.4,  8.9
Czech Republic,  135.3,  132.2,  125.5,  123.2,  126.9,  130.8,  137.6,  133.1,  141.9,  134.7,  134.7,  139.6,  141.5,  143.0,  141.8,  141.8,  141.9,  140.2,  131.3,  118.2,  107.6,  99.5,  97.2,  91.7,  92.5,  91.1,  88.7,  81.4,  74.8,  87.0,  84.2,  80.9,  83.3,  82.7,  78.6,  79.8,  82.5,  77.8,  72.9,  73.0,  71.5,  69.1,  64.9,  61.8,  61.6,  62.7,  61.6,  61.0,  55.2,  47.1
Denmark,  6.2,  5.6,  8.0,  6.9,  8.2,  11.5,  13.2,  14.2,  17.3,  24.3,  19.4,  23.5,  22.1,  23.8,  29.2,  29.5,  28.9,  27.0,  22.2,  24.3,  33.0,  27.5,  28.8,  30.9,  25.9,  35.6,  26.5,  22.5,  18.9,  15.8,  16.7,  16.7,  22.8,  17.5,  14.7,  22.2,  18.6,  16.3,  16.0,  15.6,  13.0,  10.2,  12.9,  10.2,  7.3,  8.4,  6.3,  6.4,  3.6,  3.0
