GHG emissions from fuel combustion - Gas,,,,,,,Source:,,"IEA (2021), GHG Emissions from Energy",,,,,,,,,,,,,,"IEA, All rights reserved ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Documentation:,,Accessible here,,,,,,,,,,,,,,https://www.iea.org/terms,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to the table of contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
million tonnes of CO2 eq,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World, 2 048, 2 158, 2 238, 2 290, 2 254, 2 376, 2 436, 2 515, 2 661, 2 713, 2 748, 2 753, 2 781, 2 987, 3 074, 3 115, 3 293, 3 433, 3 607, 3 676, 3 798, 3 781, 3 850, 3 874, 3 985, 4 153, 4 218, 4 276, 4 422, 4 567, 4 629, 4 790, 4 969, 5 104, 5 223, 5 371, 5 583, 5 740, 5 581, 6 057, 6 147, 6 263, 6 349, 6 342, 6 447, 6 626, 6 775, 7 098, 7 267,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annex I Parties ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.., 3 000, 3 083, 3 051, 3 080, 3 056, 3 119, 3 250, 3 246, 3 233, 3 322, 3 404, 3 385, 3 457, 3 526, 3 549, 3 563, 3 572, 3 687, 3 712, 3 545, 3 781, 3 784, 3 816, 3 823, 3 755, 3 763, 3 846, 3 875, 4 077, 4 148,..
   Annex II Parties   , 1 446, 1 523, 1 566, 1 577, 1 503, 1 565, 1 571, 1 594, 1 667, 1 656, 1 627, 1 546, 1 501, 1 608, 1 604, 1 554, 1 636, 1 695, 1 766, 1 759, 1 829, 1 869, 1 946, 1 995, 2 090, 2 196, 2 241, 2 248, 2 311, 2 387, 2 355, 2 415, 2 426, 2 451, 2 452, 2 446, 2 550, 2 581, 2 501, 2 649, 2 622, 2 673, 2 693, 2 650, 2 715, 2 790, 2 776, 2 940, 3 011,..
      North America      , 1 266, 1 288, 1 283, 1 245, 1 151, 1 175, 1 158, 1 158, 1 197, 1 184, 1 157, 1 082, 1 019, 1 088, 1 060,  999, 1 050, 1 108, 1 157, 1 116, 1 135, 1 169, 1 211, 1 241, 1 290, 1 320, 1 358, 1 333, 1 346, 1 399, 1 340, 1 387, 1 365, 1 365, 1 350, 1 333, 1 421, 1 425, 1 393, 1 461, 1 495, 1 555, 1 591, 1 629, 1 674, 1 686, 1 656, 1 837, 1 898,..
      Europe      ,  167,  220,  261,  306,  323,  356,  371,  382,  409,  402,  396,  386,  400,  417,  433,  441,  469,  464,  478,  493,  537,  539,  570,  582,  622,  690,  690,  719,  757,  772,  796,  802,  836,  861,  878,  871,  863,  894,  845,  913,  817,  796,  780,  695,  726,  782,  801,  793,  810,..
      Asia Oceania,  13,  15,  21,  26,  29,  35,  43,  54,  62,  70,  74,  78,  82,  103,  111,  114,  118,  123,  131,  151,  158,  161,  165,  172,  179,  186,  192,  196,  208,  216,  218,  226,  226,  225,  224,  242,  266,  263,  263,  276,  310,  323,  323,  326,  314,  321,  319,  310,  304,..
   Annex I EIT   ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.., 1 235, 1 246, 1 174, 1 126, 1 052, 1 017, 1 039,  988,  965,  986,  988,  999, 1 009, 1 059, 1 055, 1 059, 1 065, 1 066, 1 061,  976, 1 058, 1 077, 1 056, 1 042, 1 012,  957,  969,  996, 1 043, 1 051,..
Non-Annex I Parties ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  676,  716,  731,  770,  818,  866,  903,  971, 1 043, 1 100, 1 163, 1 244, 1 332, 1 443, 1 555, 1 660, 1 799, 1 896, 2 027, 2 036, 2 276, 2 362, 2 447, 2 526, 2 587, 2 684, 2 779, 2 900, 3 021, 3 119,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annex B Kyoto Parties,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  946,  973,  959,  960,  943,  989, 1 075, 1 052, 1 061, 1 110, 1 123, 1 150, 1 164, 1 214, 1 234, 1 258, 1 244, 1 236, 1 271, 1 179, 1 282, 1 181, 1 149, 1 129,  994, 1 010, 1 075, 1 105, 1 103, 1 121,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD Total, 1 490, 1 571, 1 618, 1 632, 1 561, 1 626, 1 637, 1 670, 1 754, 1 746, 1 719, 1 647, 1 604, 1 713, 1 713, 1 661, 1 749, 1 811, 1 887, 1 906, 1 980, 2 015, 2 094, 2 151, 2 258, 2 385, 2 447, 2 467, 2 538, 2 636, 2 619, 2 697, 2 734, 2 779, 2 798, 2 813, 2 930, 2 969, 2 881, 3 073, 3 065, 3 125, 3 152, 3 095, 3 162, 3 249, 3 260, 3 421, 3 475, 3 441
Non-OECD Total,  558,  588,  620,  658,  693,  750,  799,  845,  907,  967, 1 029, 1 106, 1 177, 1 274, 1 361, 1 454, 1 544, 1 622, 1 720, 1 770, 1 819, 1 766, 1 756, 1 723, 1 727, 1 768, 1 771, 1 809, 1 884, 1 931, 2 010, 2 093, 2 235, 2 325, 2 425, 2 558, 2 653, 2 771, 2 700, 2 984, 3 082, 3 138, 3 197, 3 248, 3 285, 3 377, 3 515, 3 677, 3 792,..
International marine bunkers,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,  0,  0,  0,  0,  0,  0,  0,..
International aviation bunkers,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Canada,  68.4,  78.2,  83.2,  86.2,  87.9,  89.9,  95.0,  91.4,  95.3,  96.7,  94.3,  95.8,  93.9,  101.0,  108.8,  107.8,  106.8,  117.9,  122.8,  119.3,  119.2,  125.5,  131.1,  138.1,  143.6,  150.8,  151.5,  146.5,  153.7,  162.8,  156.4,  164.4,  172.4,  166.8,  167.4,  165.2,  176.0,  174.4,  169.2,  171.7,  189.2,  192.1,  203.2,  214.4,  212.6,  213.6,  217.2,  234.2,  235.6,  225.8
Chile,  1.3,  1.2,  0.9,  1.0,  1.1,  1.2,  1.3,  1.2,  1.4,  1.4,  1.4,  1.5,  1.6,  1.6,  1.6,  1.5,  1.4,  2.0,  3.1,  0.9,  1.0,  1.0,  0.9,  1.0,  1.0,  1.0,  1.9,  3.3,  4.3,  6.7,  8.5,  8.3,  9.9,  11.2,  10.6,  8.5,  5.1,  3.4,  4.6,  8.7,  10.2,  9.0,  9.2,  7.7,  8.3,  8.7,  9.2,  9.2,  10.4,  10.9
Mexico,  19.6,  21.0,  23.5,  24.6,  24.5,  23.6,  24.8,  30.7,  38.2,  40.5,  42.6,  48.7,  48.7,  49.1,  50.6,  44.9,  44.5,  45.1,  43.0,  48.4,  52.2,  53.0,  55.2,  57.3,  56.4,  61.1,  65.4,  75.6,  72.2,  82.1,  83.1,  93.6,  104.7,  109.6,  109.3,  120.6,  124.3,  130.8,  130.8,  135.3,  140.3,  146.9,  140.8,  138.6,  144.4,  146.4,  150.3,  146.7,  139.5,  162.3
United States, 1 197.8, 1 210.1, 1 200.1, 1 158.6, 1 063.4, 1 084.7, 1 062.5, 1 066.3, 1 101.7, 1 087.2, 1 062.4,  986.6,  925.3,  986.6,  950.8,  890.8,  942.7,  989.7, 1 034.2,  996.5, 1 015.6, 1 043.6, 1 079.5, 1 102.4, 1 146.0, 1 169.5, 1 206.5, 1 186.8, 1 192.5, 1 236.2, 1 183.7, 1 222.8, 1 192.2, 1 197.9, 1 182.5, 1 168.0, 1 245.4, 1 250.1, 1 223.4, 1 289.1, 1 305.6, 1 363.1, 1 387.9, 1 414.8, 1 461.7, 1 472.2, 1 439.0, 1 603.2, 1 662.7, 1 618.2
OECD Americas, 1 289.7, 1 313.7, 1 311.0, 1 273.9, 1 180.3, 1 202.9, 1 187.5, 1 194.5, 1 241.8, 1 231.6, 1 207.0, 1 139.2, 1 076.9, 1 145.6, 1 119.2, 1 052.4, 1 103.1, 1 162.3, 1 210.5, 1 172.8, 1 195.8, 1 230.8, 1 274.6, 1 306.7, 1 355.4, 1 391.5, 1 436.8, 1 425.5, 1 434.2, 1 500.7, 1 445.4, 1 502.7, 1 492.3, 1 499.2, 1 484.1, 1 476.8, 1 565.1, 1 574.1, 1 545.5, 1 623.5, 1 662.9, 1 729.3, 1 760.0, 1 794.8, 1 846.9, 1 861.7, 1 834.8, 2 013.1, 2 066.1, 2 031.7
Australia,  4.0,  5.8,  7.1,  7.8,  8.7,  9.7,  11.5,  12.6,  14.1,  16.3,  18.9,  20.8,  20.8,  22.3,  23.8,  26.1,  26.9,  28.2,  29.1,  32.3,  30.6,  31.9,  33.3,  34.8,  37.4,  37.7,  38.0,  39.7,  41.5,  43.7,  46.1,  50.7,  46.4,  47.9,  47.8,  48.6,  55.6,  57.4,  59.7,  61.0,  61.9,  64.9,  65.5,  66.6,  67.3,  69.3,  71.9,  74.2,  76.6,  86.6
Israel,  0.0,  0.0,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  2.3,  3.2,  4.5,  5.5,  6.9,  8.5,  10.2,  9.5,  4.9,  13.6,  15.5,  16.4,  18.6,  20.0,  18.2,  18.2,  19.0
Japan,  8.6,  8.7,  13.7,  17.5,  19.3,  23.0,  28.2,  38.5,  45.4,  51.6,  52.8,  53.5,  57.1,  76.7,  82.0,  83.5,  86.2,  90.4,  96.6,  111.7,  119.7,  121.1,  124.0,  130.2,  134.9,  140.7,  145.4,  149.2,  158.2,  163.1,  162.5,  166.5,  171.9,  170.9,  169.7,  186.5,  202.6,  198.5,  196.4,  207.1,  241.4,  250.6,  249.9,  252.0,  240.0,  245.3,  239.3,  229.4,  219.9,  229.6
Korea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.1,  4.4,  5.7,  5.6,  6.4,  7.4,  9.7,  12.1,  16.1,  19.5,  25.8,  31.3,  29.3,  35.9,  40.2,  44.0,  49.2,  51.3,  60.4,  64.3,  68.7,  73.9,  75.5,  72.7,  91.5,  98.6,  106.8,  111.0,  100.1,  93.6,  99.3,  103.0,  114.3,  110.3,  115.2
New Zealand,  0.2,  0.5,  0.6,  0.6,  0.6,  1.8,  3.1,  3.0,  2.1,  1.9,  2.2,  3.9,  4.0,  4.3,  5.3,  4.6,  4.8,  4.9,  5.0,  6.6,  7.3,  7.7,  7.5,  7.0,  6.4,  7.4,  8.6,  7.4,  8.4,  8.7,  9.7,  9.0,  7.6,  6.5,  6.9,  6.8,  7.7,  6.9,  6.7,  7.5,  6.8,  7.0,  7.4,  7.5,  7.1,  6.9,  7.4,  6.4,  7.1,  6.7
OECD Asia Oceania,  12.9,  15.1,  21.4,  26.0,  28.6,  34.6,  42.8,  54.1,  61.6,  69.7,  73.9,  78.2,  81.8,  103.3,  111.1,  114.4,  122.2,  129.2,  136.3,  157.0,  165.1,  170.5,  177.0,  188.1,  198.3,  211.6,  223.4,  225.6,  244.0,  255.7,  262.4,  275.4,  277.2,  288.0,  291.8,  315.2,  345.2,  345.3,  343.9,  377.2,  418.1,  434.3,  447.4,  441.7,  424.4,  439.5,  441.6,  442.5,  432.1,  457.2
Austria,  5.4,  6.0,  6.5,  7.2,  7.1,  8.2,  8.3,  8.7,  8.8,  8.3,  7.8,  7.6,  7.7,  8.7,  9.5,  9.4,  9.8,  9.3,  10.0,  11.5,  12.1,  12.2,  12.6,  13.3,  14.5,  15.5,  14.9,  15.4,  15.6,  14.7,  15.9,  15.8,  17.0,  17.4,  18.3,  17.0,  16.1,  17.0,  16.5,  18.2,  17.2,  16.5,  15.9,  14.4,  15.5,  16.2,  17.5,  16.7,  17.2,  16.4
Belgium,  11.3,  14.4,  15.2,  18.0,  17.4,  19.0,  18.7,  18.6,  20.7,  19.7,  17.9,  14.6,  15.6,  16.2,  16.2,  14.5,  16.3,  15.8,  17.8,  18.4,  19.6,  19.8,  20.8,  21.3,  23.4,  26.2,  24.9,  27.7,  29.3,  29.6,  29.6,  30.5,  32.2,  32.7,  32.0,  33.1,  33.1,  33.0,  33.7,  37.2,  31.6,  32.0,  32.0,  27.9,  30.4,  31.2,  31.6,  32.8,  33.3,  33.1
Czech Republic,  1.9,  2.0,  2.2,  2.7,  3.1,  3.4,  3.9,  4.4,  4.9,  5.7,  5.7,  6.0,  7.0,  7.5,  9.2,  9.7,  10.6,  10.8,  11.1,  11.5,  11.4,  12.7,  12.8,  12.8,  14.6,  17.0,  17.5,  17.4,  17.6,  17.1,  18.4,  17.8,  18.1,  18.1,  17.9,  17.6,  16.6,  16.3,  15.3,  17.4,  15.9,  15.6,  15.9,  14.0,  14.8,  16.0,  16.5,  15.6,  16.4,  16.7
Denmark,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.1,  0.3,  1.5,  2.6,  3.3,  3.7,  3.9,  4.2,  4.7,  5.0,  5.7,  6.4,  7.4,  8.7,  9.2,  10.0,  10.5,  10.5,  10.9,  10.9,  11.0,  11.0,  10.5,  10.7,  9.6,  9.7,  9.3,  10.4,  8.8,  8.2,  7.8,  6.7,  6.9,  7.0,  6.9,  6.8,  6.5,  5.2
