,fossil_prod_change_twh,solar_electricity,wind_electricity,hydro_electricity,biofuel_electricity
91,-37.096000000000004,0.002,0.059000000000000004,31.034000000000002,1.162
92,-14.267,0.008,0.8220000000000001,28.712,1.3719999999999999
93,-28.957,0.015,1.0070000000000001,32.513000000000005,1.314
94,-5.34,0.016,0.619,32.332,0.988
95,13.065,0.015,0.593,31.939,1.194
96,1.4839999999999982,0.013999999999999999,0.5479999999999999,29.405,1.214
97,-17.472,0.016,0.612,31.459,1.389
98,26.264,0.10800000000000001,1.413,31.962,1.36
99,36.903,0.8,4.997,27.335,1.724
120,181.398,0.038,0.057999999999999996,16.195999999999998,1.13
121,143.414,0.044000000000000004,0.21,16.397000000000002,1.35
122,67.247,0.05,0.364,15.718,1.58
123,29.211000000000006,0.059000000000000004,0.703,16.127,1.62
124,68.21299999999998,0.069,0.705,15.886,1.86
125,130.21300000000002,0.079,0.885,15.155999999999999,3.83
126,58.915000000000006,0.091,1.713,15.767000000000001,3.91
127,115.894,0.109,2.611,14.196,3.95
128,65.058,0.127,3.093,11.79,4.596
129,132.016,0.16,3.806,11.684000000000001,2.815
130,190.118,0.389,5.052,13.502,2.7769999999999997
131,-82.436,1.392,6.085,16.694000000000006,2.102
132,278.164,2.325,6.97,13.979000000000001,3.043
133,213.082,3.4760000000000004,7.96,18.116,3.1519999999999997
134,299.082,4.01,10.252,18.338,3.511
135,65.705,5.023,11.467,13.324000000000002,3.608
136,195.173,6.209,12.199000000000002,15.020999999999999,3.722
137,66.57700000000001,8.071,12.597000000000001,16.037,3.5
138,329.98199999999997,9.929,15.164000000000001,15.831,3.5180000000000002
139,321.26,14.218,21.143,15.538,3.5
140,0.0,0.003,0.067,41.835,1.528
141,0.0,0.005,0.105,40.455,1.6680000000000001
142,0.0,0.009000000000000001,0.14,40.227,1.517
143,0.0,0.015,0.3720000000000001,33.215,1.6469999999999998
144,0.0,0.018000000000000002,0.934,36.762,1.912
145,0.0,0.021,1.331,37.095,2.435
146,0.0,0.022000000000000002,1.7530000000000001,35.656,3.234
147,0.0,0.024,2.037,37.054,4.059
148,0.0,0.03,2.011,38.329,4.158
149,0.0,0.049,1.954,40.896,4.276
150,0.0,0.08900000000000001,2.064,38.363,4.481
151,0.0,0.174,1.936,34.236999999999995,4.56
152,0.0,0.337,2.463,43.848,4.678999999999999
153,0.0,0.626,3.1519999999999997,42.016999999999996,4.6960000000000015
154,0.0,0.785,3.846,41.007,4.548
155,0.0,0.937,4.84,37.157,4.648
156,0.0,1.0959999999999999,5.235,39.971,4.78
157,0.0,1.2690000000000001,6.572,38.294000000000004,4.921
158,0.0,1.4380000000000002,6.03,37.63800000000001,4.93
159,0.0,1.3530000000000002,7.6,41.63800000000001,4.5360000000000005
173,7.605,0.001,0.001,1.474,0.134
174,-6.09,0.003,0.002,1.287,0.174
175,-1.7240000000000002,0.005,0.005,1.621,0.182
176,-11.942000000000004,0.035,0.023,1.939,0.174
177,-32.339,0.037000000000000005,0.022000000000000002,1.729,0.17
178,14.146,0.039,0.08199999999999999,1.75,0.162
179,40.245000000000005,0.044000000000000004,0.135,1.5490000000000002,0.155
209,23.70300000000001,0.03,0.002,0.43799999999999994,0.001
210,5.07,0.07,0.002,0.764,0.001
211,3.284,0.062,0.002,0.915,0.001
213,6.165,0.136,0.004,0.9390000000000001,0.001
214,10.695,0.17300000000000001,0.004,0.617,0.002
215,28.318,0.21,0.006,0.594,0.003
216,5.968999999999999,0.233,0.006,1.01,0.003
217,1.4169999999999998,0.268,0.006,1.031,0.003
218,-0.109,0.29100000000000004,0.006,1.075,0.003
219,21.243000000000002,0.42,0.006,0.82,0.003
234,0.0,0.001,0.011000000000000001,0.12,0.155
235,0.0,0.008,0.026000000000000002,0.106,0.18600000000000005
236,0.0,0.027999999999999997,0.075,0.141,0.17600000000000002
237,0.0,0.08900000000000001,0.09699999999999999,0.401,0.195
238,0.0,0.177,0.099,0.321,0.20600000000000002
239,0.0,0.18100000000000002,0.17800000000000002,0.345,0.336
244,0.0,0.001,0.141,0.317,1.038
245,0.0,0.001,0.22699999999999998,0.28800000000000003,1.59
246,0.0,0.002,0.366,0.359,2.226
247,0.0,0.006,0.491,0.389,2.5989999999999998
248,0.0,0.040999999999999995,0.637,0.41,3.3280000000000003
249,0.0,0.166,0.996,0.32799999999999996,3.95
250,0.0,0.56,1.2919999999999998,0.312,4.33
251,0.0,1.169,2.312,0.196,4.676
252,0.0,2.148,2.7510000000000003,0.35700000000000004,5.182
253,0.0,2.6439999999999997,3.665,0.38,4.968
254,0.0,2.886,4.615,0.292,4.46
255,0.0,3.056,5.574,0.318,5.55
256,0.0,3.095,5.438,0.37,5.436
257,0.0,3.307,6.513999999999999,0.27,5.766
258,0.0,3.9019999999999997,7.465,0.314,5.459
259,0.0,3.8789999999999996,9.362,0.306,5.2170000000000005
