,fossil_prod_change_twh,solar_electricity,wind_electricity,hydro_electricity
0,425.882,0.013000000000000001,0.17600000000000002,75.24600000000002
1,-1.5729999999999977,0.016,0.41600000000000004,80.86399999999998
2,67.293,0.019,0.445,85.181
3,596.0630000000001,0.023,0.541,82.87299999999998
4,634.651,0.027000000000000003,0.769,87.405
5,271.992,0.032,0.782,89.066
6,255.16600000000005,0.040999999999999995,0.853,92.241
7,220.634,0.053,1.016,95.34100000000001
8,164.97399999999996,0.075,1.3119999999999998,97.15700000000001
9,-347.537,0.098,1.59,99.76100000000001
10,340.11199999999997,0.214,2.2840000000000003,107.427
11,-955.8539999999998,0.45299999999999996,2.537,110.445
12,539.5369999999999,0.551,2.9619999999999997,110.95200000000001
13,-458.688,0.8240000000000001,3.56,117.67299999999999
14,-156.20999999999998,1.831,5.1579999999999995,123.727
15,-66.27199999999999,3.596,8.888,119.85700000000001
16,-215.986,4.939,11.306,115.801
17,483.45900000000006,6.984,12.458,123.816
18,285.696,9.85,14.288,130.388
19,20.57399999999999,19.378,17.508,132.735
55,-5.564,0.057999999999999996,0.019,0.14400000000000002
56,113.65100000000001,0.087,0.028999999999999998,0.21600000000000005
57,-4.696999999999999,0.5720000000000001,0.008,0.055
58,-6.607999999999999,0.603,0.011000000000000001,0.11599999999999999
59,-87.835,0.615,0.011000000000000001,0.106
91,-37.096000000000004,0.002,0.059000000000000004,31.034000000000002
92,-14.267,0.008,0.8220000000000001,28.712
93,-28.957,0.015,1.0070000000000001,32.513000000000005
94,-5.34,0.016,0.619,32.332
95,13.065,0.015,0.593,31.939
96,1.4839999999999982,0.013999999999999999,0.5479999999999999,29.405
97,-17.472,0.016,0.612,31.459
98,26.264,0.10800000000000001,1.413,31.962
99,36.903,0.8,4.997,27.335
115,0.0,0.001,0.003,2.184
116,0.0,0.001,0.002,2.327
117,0.0,0.003,0.002,2.246
118,0.0,0.019,0.002,2.295
119,0.0,0.013000000000000001,0.003,2.347
120,181.398,0.038,0.057999999999999996,16.195999999999998
121,143.414,0.044000000000000004,0.21,16.397000000000002
122,67.247,0.05,0.364,15.718
123,29.211000000000006,0.059000000000000004,0.703,16.127
124,68.21299999999998,0.069,0.705,15.886
125,130.21300000000002,0.079,0.885,15.155999999999999
126,58.915000000000006,0.091,1.713,15.767000000000001
127,115.894,0.109,2.611,14.196
128,65.058,0.127,3.093,11.79
129,132.016,0.16,3.806,11.684000000000001
130,190.118,0.389,5.052,13.502
131,-82.436,1.392,6.085,16.694000000000006
132,278.164,2.325,6.97,13.979000000000001
133,213.082,3.4760000000000004,7.96,18.116
134,299.082,4.01,10.252,18.338
135,65.705,5.023,11.467,13.324000000000002
136,195.173,6.209,12.199000000000002,15.020999999999999
137,66.57700000000001,8.071,12.597000000000001,16.037
138,329.98199999999997,9.929,15.164000000000001,15.831
139,321.26,14.218,21.143,15.538
140,0.0,0.003,0.067,41.835
141,0.0,0.005,0.105,40.455
142,0.0,0.009000000000000001,0.14,40.227
143,0.0,0.015,0.3720000000000001,33.215
144,0.0,0.018000000000000002,0.934,36.762
145,0.0,0.021,1.331,37.095
146,0.0,0.022000000000000002,1.7530000000000001,35.656
147,0.0,0.024,2.037,37.054
148,0.0,0.03,2.011,38.329
149,0.0,0.049,1.954,40.896
150,0.0,0.08900000000000001,2.064,38.363
151,0.0,0.174,1.936,34.236999999999995
152,0.0,0.337,2.463,43.848
153,0.0,0.626,3.1519999999999997,42.016999999999996
154,0.0,0.785,3.846,41.007
155,0.0,0.937,4.84,37.157
156,0.0,1.0959999999999999,5.235,39.971
157,0.0,1.2690000000000001,6.572,38.294000000000004
158,0.0,1.4380000000000002,6.03,37.63800000000001
159,0.0,1.3530000000000002,7.6,41.63800000000001
173,7.605,0.001,0.001,1.474
174,-6.09,0.003,0.002,1.287
175,-1.7240000000000002,0.005,0.005,1.621
176,-11.942000000000004,0.035,0.023,1.939
177,-32.339,0.037000000000000005,0.022000000000000002,1.729
178,14.146,0.039,0.08199999999999999,1.75
179,40.245000000000005,0.044000000000000004,0.135,1.5490000000000002
206,11.0,0.01,0.002,1.375
207,9.73,0.02,0.002,0.742
208,10.401,0.02,0.002,0.941
209,23.70300000000001,0.03,0.002,0.43799999999999994
210,5.07,0.07,0.002,0.764
211,3.284,0.062,0.002,0.915
213,6.165,0.136,0.004,0.9390000000000001
214,10.695,0.17300000000000001,0.004,0.617
215,28.318,0.21,0.006,0.594
216,5.968999999999999,0.233,0.006,1.01
217,1.4169999999999998,0.268,0.006,1.031
218,-0.109,0.29100000000000004,0.006,1.075
219,21.243000000000002,0.42,0.006,0.82
234,0.0,0.001,0.011000000000000001,0.12
235,0.0,0.008,0.026000000000000002,0.106
236,0.0,0.027999999999999997,0.075,0.141
237,0.0,0.08900000000000001,0.09699999999999999,0.401
238,0.0,0.177,0.099,0.321
239,0.0,0.18100000000000002,0.17800000000000002,0.345
244,0.0,0.001,0.141,0.317
245,0.0,0.001,0.22699999999999998,0.28800000000000003
246,0.0,0.002,0.366,0.359
247,0.0,0.006,0.491,0.389
248,0.0,0.040999999999999995,0.637,0.41
249,0.0,0.166,0.996,0.32799999999999996
250,0.0,0.56,1.2919999999999998,0.312
251,0.0,1.169,2.312,0.196
252,0.0,2.148,2.7510000000000003,0.35700000000000004
253,0.0,2.6439999999999997,3.665,0.38
254,0.0,2.886,4.615,0.292
255,0.0,3.056,5.574,0.318
256,0.0,3.095,5.438,0.37
257,0.0,3.307,6.513999999999999,0.27
258,0.0,3.9019999999999997,7.465,0.314
259,0.0,3.8789999999999996,9.362,0.306
293,24.357,0.003,0.001,2.51
294,7.013999999999999,0.006,0.008,2.228
295,-7.162000000000001,0.005,0.012,2.438
296,-7.8610000000000015,0.006,0.035,1.703
297,-5.388,0.006,0.06,2.2119999999999997
298,-11.997,0.127,0.059000000000000004,2.5860000000000003
299,-20.857,0.18899999999999997,0.07,3.22
316,1.517,0.024,0.001,5.585
317,0.0,0.021,0.001,3.752
318,0.0,0.021,0.10300000000000001,6.354
319,0.0,0.03,0.254,6.02
350,88.65599999999999,0.001,2.177,399.256
351,52.042,0.002,2.705,424.05
352,6.140999999999999,0.006999999999999999,5.05,411.189
353,3.4389999999999983,0.005,6.58,387.082
354,161.583,0.016,12.21,369.705
355,109.60900000000001,0.059000000000000004,21.63,356.14599999999996
356,47.06900000000002,0.085,33.49,377.102
357,95.78000000000002,0.8320000000000001,42.37,367.19699999999995
358,-42.377,3.4610000000000003,48.475,385.08099999999996
359,135.935,6.655,55.986000000000004,393.898
369,-2.958,0.003,0.237,3.432
370,3.938,0.015,0.6809999999999999,5.0310000000000015
371,14.716,0.10099999999999999,0.861,2.872
372,-6.9620000000000015,0.8140000000000001,1.2209999999999999,3.178
373,-9.575,1.361,1.374,4.0360000000000005
374,3.951,1.252,1.331,4.602
375,8.591000000000001,1.383,1.452,5.655
376,-8.713,1.386,1.425,3.88
377,6.7520000000000024,1.403,1.504,2.8280000000000003
378,-4.996,1.3430000000000002,1.318,5.147
379,-4.637,1.47,1.297,2.9360000000000004
420,166.476,0.016,0.264,354.92400000000015
421,45.321000000000005,0.019,0.337,329.986
422,21.611000000000004,0.022000000000000002,0.408,347.048
423,13.20999999999999,0.023,0.826,334.07099999999997
424,82.68599999999999,0.013000000000000001,0.9540000000000001,337.42699999999996
425,10.138000000000002,0.017,1.4709999999999999,358.301
426,94.723,0.021,2.5,349.32300000000015
427,13.751,0.026000000000000002,3.0239999999999996,363.909
428,-115.18299999999999,0.035,3.7060000000000004,373.676
429,-146.951,0.10300000000000001,6.641,364.964
430,57.04600000000002,0.253,8.637,347.871
431,124.21799999999999,0.5660000000000001,10.086,371.967
432,140.584,0.872,11.198,376.465
433,171.94900000000004,1.484,17.913,387.871
