,fossil_prod_change_twh,solar_electricity,wind_electricity,hydro_electricity,biofuel_electricity,nuclear_electricity
91,-37.096000000000004,0.002,0.059000000000000004,31.034000000000002,1.162,5.894
92,-14.267,0.008,0.8220000000000001,28.712,1.3719999999999999,5.903
93,-28.957,0.015,1.0070000000000001,32.513000000000005,1.314,5.732
94,-5.34,0.016,0.619,32.332,0.988,5.257999999999999
95,13.065,0.015,0.593,31.939,1.194,6.519
96,1.4839999999999982,0.013999999999999999,0.5479999999999999,29.405,1.214,7.6770000000000005
97,-17.472,0.016,0.612,31.459,1.389,5.716
98,26.264,0.10800000000000001,1.413,31.962,1.36,6.452999999999999
99,36.903,0.8,4.997,27.335,1.724,7.9270000000000005
244,0.0,0.001,0.141,0.317,1.038,47.312
245,0.0,0.001,0.22699999999999998,0.28800000000000003,1.59,47.595
246,0.0,0.002,0.366,0.359,2.226,46.645
247,0.0,0.006,0.491,0.389,2.5989999999999998,48.227
248,0.0,0.040999999999999995,0.637,0.41,3.3280000000000003,45.56800000000001
249,0.0,0.166,0.996,0.32799999999999996,3.95,47.222
250,0.0,0.56,1.2919999999999998,0.312,4.33,47.943999999999996
251,0.0,1.169,2.312,0.196,4.676,48.233999999999995
252,0.0,2.148,2.7510000000000003,0.35700000000000004,5.182,40.295
253,0.0,2.6439999999999997,3.665,0.38,4.968,42.644
254,0.0,2.886,4.615,0.292,4.46,33.703
255,0.0,3.056,5.574,0.318,5.55,26.103
256,0.0,3.095,5.438,0.37,5.436,43.523
257,0.0,3.307,6.513999999999999,0.27,5.766,42.227
258,0.0,3.9019999999999997,7.465,0.314,5.459,28.596999999999998
259,0.0,3.8789999999999996,9.362,0.306,5.2170000000000005,42.417
350,88.65599999999999,0.001,2.177,399.256,31.495,13.774000000000001
351,52.042,0.002,2.705,424.05,32.434,14.795
352,6.140999999999999,0.006999999999999999,5.05,411.189,35.645,15.17
353,3.4389999999999983,0.005,6.58,387.082,40.762,14.645
354,161.583,0.016,12.21,369.705,46.688,14.463
355,109.60900000000001,0.059000000000000004,21.63,356.14599999999996,49.44600000000001,13.892000000000001
356,47.06900000000002,0.085,33.49,377.102,50.93600000000001,14.97
357,95.78000000000002,0.8320000000000001,42.37,367.19699999999995,52.538999999999994,14.854000000000001
358,-42.377,3.4610000000000003,48.475,385.08099999999996,53.911,15.674000000000001
359,135.935,6.655,55.986000000000004,393.898,54.513999999999996,15.224
369,-2.958,0.003,0.237,3.432,0.006999999999999999,15.255999999999998
370,3.938,0.015,0.6809999999999999,5.0310000000000015,0.035,15.249
371,14.716,0.10099999999999999,0.861,2.872,0.055999999999999994,16.314
372,-6.9620000000000015,0.8140000000000001,1.2209999999999999,3.178,0.066,15.785
373,-9.575,1.361,1.374,4.0360000000000005,0.11199999999999999,14.171
374,3.951,1.252,1.331,4.602,0.201,15.867
375,8.591000000000001,1.383,1.452,5.655,0.27,15.383
376,-8.713,1.386,1.425,3.88,0.354,15.776
377,6.7520000000000024,1.403,1.504,2.8280000000000003,0.396,15.545
378,-4.996,1.3430000000000002,1.318,5.147,1.492,16.125
379,-4.637,1.47,1.297,2.9360000000000004,1.469,16.562
420,166.476,0.016,0.264,354.92400000000015,8.226,69.15899999999999
421,45.321000000000005,0.019,0.337,329.986,8.612,72.858
422,21.611000000000004,0.022000000000000002,0.408,347.048,9.05,71.75
423,13.20999999999999,0.023,0.826,334.07099999999997,9.059,71.14699999999998
424,82.68599999999999,0.013000000000000001,0.9540000000000001,337.42699999999996,8.82,85.868
425,10.138000000000002,0.017,1.4709999999999999,358.301,9.182,86.831
426,94.723,0.021,2.5,349.32300000000015,8.718,92.436
427,13.751,0.026000000000000002,3.0239999999999996,363.909,8.455,88.193
428,-115.18299999999999,0.035,3.7060000000000004,373.676,7.21,88.29899999999998
429,-146.951,0.10300000000000001,6.641,364.964,7.807,85.12899999999998
430,57.04600000000002,0.253,8.637,347.871,9.162,85.501
431,124.21799999999999,0.5660000000000001,10.086,371.967,9.277999999999999,88.318
432,140.584,0.872,11.198,376.465,9.82,89.06
433,171.94900000000004,1.484,17.913,387.871,9.981,96.971
434,244.38000000000002,2.099,22.315,378.676,8.866,98.588
435,66.88399999999999,2.866,26.697,378.37199999999996,9.252,95.637
436,150.85500000000002,3.992,30.623,381.57800000000003,9.764,95.65
437,246.29799999999997,3.5380000000000003,31.198,390.64099999999996,11.51,95.131
438,254.16400000000002,3.759,32.854,382.02,10.754000000000001,95.037
439,0.33500000000000796,4.272,30.531999999999996,377.97900000000004,10.865,94.854
760,0.0,0.002,0.078,14.66,8.639,22.479
761,0.0,0.002,0.07,13.205,8.272,22.773000000000003
762,0.0,0.002,0.064,10.776,8.988999999999997,22.295
763,0.0,0.002,0.09300000000000001,9.591000000000001,9.379,22.730999999999998
764,0.0,0.002,0.12,15.07,10.44,22.715999999999998
765,0.0,0.003,0.17,13.784,9.512,23.271
766,0.0,0.003,0.156,11.494000000000002,10.814,22.906
767,0.0,0.004,0.188,14.177,9.955,23.423000000000002
768,0.0,0.004,0.261,17.112000000000002,10.405,22.958000000000002
769,0.0,0.004,0.27699999999999997,12.686,8.734,23.526
770,0.0,0.005,0.294,12.922,10.974,22.8
771,0.0,0.005,0.48100000000000004,12.445,11.245,23.186999999999998
772,0.0,0.006,0.494,16.859,11.2,22.987
773,0.0,0.006,0.774,12.839,12.011,23.605999999999998
774,0.0,0.008,1.107,13.397,11.759,23.58
775,0.0,0.011000000000000001,2.327,16.769000000000002,11.419,23.245
776,0.0,0.022000000000000002,3.068,15.799000000000001,11.523,23.20300000000001
777,0.0,0.049,4.795,14.770999999999999,11.862,22.476999999999997
778,0.0,0.09,5.8389999999999995,13.300999999999998,12.91,22.79300000000001
779,0.0,0.09,6.1270000000000024,12.225,12.738,23.802
780,0.0,0.005,0.048,66.363,2.479,415.162
781,0.0,0.006,0.131,74.267,2.8489999999999998,421.07599999999996
782,0.0,0.006999999999999999,0.266,60.397,3.043,436.76
783,0.0,0.008,0.38799999999999996,58.943999999999996,3.227,441.07
784,0.0,0.008,0.595,59.555,3.312,448.241
785,0.0,0.011000000000000001,0.963,51.48,3.391,451.529
