,fossil_prod_change_twh,solar_electricity
0,425.882,0.013000000000000001
1,-1.5729999999999977,0.016
2,67.293,0.019
3,596.0630000000001,0.023
4,634.651,0.027000000000000003
5,271.992,0.032
6,255.16600000000005,0.040999999999999995
7,220.634,0.053
8,164.97399999999996,0.075
9,-347.537,0.098
10,340.11199999999997,0.214
11,-955.8539999999998,0.45299999999999996
12,539.5369999999999,0.551
13,-458.688,0.8240000000000001
14,-156.20999999999998,1.831
15,-66.27199999999999,3.596
16,-215.986,4.939
17,483.45900000000006,6.984
18,285.696,9.85
19,20.57399999999999,19.378
31,3.1390000000000002,0.001
32,0.9949999999999999,0.001
33,0.101,0.001
34,2.489,0.001
35,-0.202,0.001
36,1.891,0.002
37,0.0,0.001
38,0.0,0.001
39,0.0,0.022000000000000002
55,-5.564,0.057999999999999996
56,113.65100000000001,0.087
57,-4.696999999999999,0.5720000000000001
58,-6.607999999999999,0.603
59,-87.835,0.615
70,33.576,0.01
71,-80.079,0.011000000000000001
72,37.9,0.013999999999999999
73,-1.044,0.015
74,-22.392,0.017
75,56.723,0.018000000000000002
76,-27.804000000000002,0.018000000000000002
77,-48.338,0.018000000000000002
78,-87.31,0.018000000000000002
79,-58.303000000000004,0.018000000000000002
91,-37.096000000000004,0.002
92,-14.267,0.008
93,-28.957,0.015
94,-5.34,0.016
95,13.065,0.015
96,1.4839999999999982,0.013999999999999999
97,-17.472,0.016
98,26.264,0.10800000000000001
99,36.903,0.8
115,0.0,0.001
116,0.0,0.001
117,0.0,0.003
118,0.0,0.019
119,0.0,0.013000000000000001
120,181.398,0.038
121,143.414,0.044000000000000004
122,67.247,0.05
123,29.211000000000006,0.059000000000000004
124,68.21299999999998,0.069
125,130.21300000000002,0.079
126,58.915000000000006,0.091
127,115.894,0.109
128,65.058,0.127
129,132.016,0.16
130,190.118,0.389
131,-82.436,1.392
132,278.164,2.325
133,213.082,3.4760000000000004
134,299.082,4.01
135,65.705,5.023
136,195.173,6.209
137,66.57700000000001,8.071
138,329.98199999999997,9.929
139,321.26,14.218
140,0.0,0.003
141,0.0,0.005
142,0.0,0.009000000000000001
143,0.0,0.015
144,0.0,0.018000000000000002
145,0.0,0.021
146,0.0,0.022000000000000002
147,0.0,0.024
148,0.0,0.03
149,0.0,0.049
150,0.0,0.08900000000000001
151,0.0,0.174
152,0.0,0.337
153,0.0,0.626
154,0.0,0.785
155,0.0,0.937
156,0.0,1.0959999999999999
157,0.0,1.2690000000000001
158,0.0,1.4380000000000002
159,0.0,1.3530000000000002
173,7.605,0.001
174,-6.09,0.003
175,-1.7240000000000002,0.005
176,-11.942000000000004,0.035
177,-32.339,0.037000000000000005
178,14.146,0.039
179,40.245000000000005,0.044000000000000004
192,4.2780000000000005,0.001
193,9.06,0.001
194,7.3870000000000005,0.008
195,0.606,0.008
196,-3.5060000000000002,0.008
197,0.598,0.008
198,1.811,0.008
199,22.521,0.008
201,10.85,0.001
202,5.279,0.002
203,8.073,0.003
204,8.618,0.004
205,9.231,0.005
206,11.0,0.01
207,9.73,0.02
208,10.401,0.02
209,23.70300000000001,0.03
210,5.07,0.07
211,3.284,0.062
213,6.165,0.136
214,10.695,0.17300000000000001
215,28.318,0.21
216,5.968999999999999,0.233
217,1.4169999999999998,0.268
218,-0.109,0.29100000000000004
219,21.243000000000002,0.42
234,0.0,0.001
235,0.0,0.008
236,0.0,0.027999999999999997
237,0.0,0.08900000000000001
238,0.0,0.177
239,0.0,0.18100000000000002
244,0.0,0.001
245,0.0,0.001
246,0.0,0.002
247,0.0,0.006
248,0.0,0.040999999999999995
249,0.0,0.166
250,0.0,0.56
251,0.0,1.169
252,0.0,2.148
253,0.0,2.6439999999999997
254,0.0,2.886
255,0.0,3.056
256,0.0,3.095
257,0.0,3.307
258,0.0,3.9019999999999997
259,0.0,3.8789999999999996
275,0.0,0.005
276,0.0,0.005
277,0.0,0.005
278,0.0,0.005
279,0.0,0.005
288,4.618,0.001
289,-19.104,0.002
290,18.329,0.003
291,13.195,0.003
292,21.058000000000003,0.003
293,24.357,0.003
294,7.013999999999999,0.006
295,-7.162000000000001,0.005
296,-7.8610000000000015,0.006
297,-5.388,0.006
298,-11.997,0.127
299,-20.857,0.18899999999999997
316,1.517,0.024
317,0.0,0.021
318,0.0,0.021
319,0.0,0.03
332,4.462,0.001
333,0.163,0.002
334,1.436,0.003
335,2.441,0.003
336,-1.3730000000000002,0.005
337,0.0,0.005
338,0.0,0.005
339,0.0,0.005
350,88.65599999999999,0.001
351,52.042,0.002
352,6.140999999999999,0.006999999999999999
353,3.4389999999999983,0.005
354,161.583,0.016
355,109.60900000000001,0.059000000000000004
356,47.06900000000002,0.085
357,95.78000000000002,0.8320000000000001
358,-42.377,3.4610000000000003
359,135.935,6.655
369,-2.958,0.003
370,3.938,0.015
371,14.716,0.10099999999999999
372,-6.9620000000000015,0.8140000000000001
373,-9.575,1.361
374,3.951,1.252
375,8.591000000000001,1.383
376,-8.713,1.386
377,6.7520000000000024,1.403
378,-4.996,1.3430000000000002
379,-4.637,1.47
380,0.0,0.001
381,0.0,0.001
382,0.0,0.001
383,0.0,0.001
384,0.0,0.001
385,0.0,0.001
386,0.0,0.002
387,0.0,0.002
388,0.0,0.002
389,0.0,0.002
390,0.0,0.003
391,0.0,0.003
392,0.0,0.003
393,0.0,0.003
394,0.0,0.003
395,0.0,0.003
396,0.0,0.003
397,0.0,0.005
398,0.0,0.016
399,0.0,0.016
410,-5.5200000000000005,0.001
411,-2.7779999999999996,0.003
412,2.286,0.004
413,-3.2150000000000003,0.005
414,12.884,0.006999999999999999
415,16.935000000000002,0.01
416,-3.226,0.012
417,0.0,0.016
418,0.0,0.019
419,0.0,0.019
420,166.476,0.016
421,45.321000000000005,0.019
422,21.611000000000004,0.022000000000000002
423,13.20999999999999,0.023
424,82.68599999999999,0.013000000000000001
425,10.138000000000002,0.017
426,94.723,0.021
427,13.751,0.026000000000000002
428,-115.18299999999999,0.035
429,-146.951,0.10300000000000001
430,57.04600000000002,0.253
431,124.21799999999999,0.5660000000000001
432,140.584,0.872
433,171.94900000000004,1.484
434,244.38000000000002,2.099
435,66.88399999999999,2.866
436,150.85500000000002,3.992
437,246.29799999999997,3.5380000000000003
438,254.16400000000002,3.759
439,0.33500000000000796,4.272
453,0.0,0.008
454,0.0,0.48
455,0.0,1.238
456,0.0,2.59
457,0.0,3.843
458,0.0,5.122000000000001
459,0.0,6.136
460,-41.717000000000006,0.006
461,-4.381999999999998,0.006
462,-50.82899999999999,0.006
463,59.496,0.006999999999999999
464,27.931,0.006999999999999999
465,47.37100000000001,0.006999999999999999
466,53.87499999999999,0.006999999999999999
467,36.828,0.006999999999999999
468,78.946,0.006999999999999999
469,58.12100000000001,0.006999999999999999
470,90.129,0.008
471,167.65800000000002,0.008
472,54.759,0.008
473,27.42,0.008
474,3.7940000000000005,0.009000000000000001
475,-22.142000000000003,0.009000000000000001
476,-27.94399999999999,0.009000000000000001
477,-17.994,0.013999999999999999
478,-37.369,0.021
479,0.7680000000000007,0.132
495,-11.120999999999999,0.001
496,-0.531,0.001
497,22.20300000000001,0.001
498,36.356,0.001
499,5.1080000000000005,0.001
511,0.0,0.001
512,0.0,0.002
513,0.0,0.003
514,0.0,0.003
515,0.0,0.003
516,0.0,0.003
517,0.0,0.004
518,0.0,0.055999999999999994
519,0.0,0.076
532,0.0,0.002
533,0.0,0.011000000000000001
534,0.0,0.035
535,0.0,0.057
536,0.0,0.066
537,0.0,0.079
538,0.0,0.075
539,0.0,0.078
550,0.0,0.002
551,0.0,0.002
552,0.0,0.001
553,0.0,0.003
554,0.0,0.018000000000000002
555,0.0,0.028999999999999998
556,0.0,0.039
557,0.0,0.06
558,0.0,0.147
559,0.0,0.15
565,0.0,0.001
566,0.0,0.001
567,0.0,0.002
568,0.0,0.003
569,0.0,0.004
570,0.0,0.006
571,0.0,0.012
572,0.0,0.022000000000000002
573,0.0,0.047
574,0.0,0.084
575,0.0,0.127
576,0.0,0.146
577,0.0,0.172
578,0.0,0.19899999999999998
579,0.0,0.19899999999999998
580,40.92099999999999,0.001
581,-6.6610000000000005,0.001
582,14.054000000000002,0.001
583,-6.355,0.002
584,28.046,0.002
585,4.095,0.002
586,-20.186,0.002
587,-31.665999999999997,0.002
588,-4.411,0.003
589,-30.484,0.004
590,-10.874,0.006
591,-30.907000000000004,0.015
592,-19.813000000000002,0.10400000000000001
593,-25.237000000000002,0.518
594,-8.144,0.596
595,-5.187,0.604
596,-9.822,0.7440000000000001
597,1.3229999999999995,0.7509999999999999
598,-20.229999999999997,0.953
599,-18.213,0.958
612,0.0,0.001
613,0.0,0.009000000000000001
614,0.0,0.018000000000000002
615,0.0,0.032
616,0.0,0.075
617,0.0,0.139
618,0.0,0.23
619,0.0,0.4
633,13.290999999999999,0.004
634,18.429000000000002,0.016
635,-8.376,0.036000000000000004
636,4.231,0.039
637,-11.564,0.037000000000000005
638,-8.758,0.038
639,8.565,0.038
650,-15.857,0.20600000000000002
651,-3.776,0.223
652,-3.9750000000000005,0.237
653,-50.571,0.214
654,-60.991,0.244
655,-40.32699999999999,0.168
656,-41.92,0.58
657,66.369,0.6
658,120.85100000000001,1.51
659,56.346999999999994,3.68
673,0.0,0.022000000000000002
674,0.0,0.022000000000000002
675,0.0,0.027999999999999997
676,0.0,0.045
677,0.0,0.095
678,0.0,0.129
679,0.0,0.215
700,0.0,0.001
701,0.0,0.001
702,0.0,0.001
703,0.0,0.001
704,0.0,0.001
705,0.0,0.001
706,0.0,0.002
707,0.0,0.002
708,0.0,0.002
709,0.0,0.002
710,0.0,0.002
711,0.0,0.002
712,0.0,0.002
713,0.0,0.002
714,0.0,0.002
715,0.0,0.002
716,0.0,0.002
717,0.0,0.011000000000000001
718,0.0,0.043
719,0.0,0.06
736,0.0,0.01
737,0.0,0.013999999999999999
738,0.0,0.031
739,0.0,0.034
751,0.0,0.001
752,0.0,0.002
753,0.0,0.006
754,0.0,0.016
755,0.0,0.018000000000000002
756,0.0,0.021
757,0.0,0.022000000000000002
758,0.0,0.02
759,0.0,0.02
760,0.0,0.002
761,0.0,0.002
762,0.0,0.002
763,0.0,0.002
764,0.0,0.002
765,0.0,0.003
766,0.0,0.003
767,0.0,0.004
768,0.0,0.004
769,0.0,0.004
770,0.0,0.005
771,0.0,0.005
772,0.0,0.006
773,0.0,0.006
774,0.0,0.008
775,0.0,0.011000000000000001
776,0.0,0.022000000000000002
777,0.0,0.049
778,0.0,0.09
779,0.0,0.09
780,0.0,0.005
781,0.0,0.006
782,0.0,0.006999999999999999
783,0.0,0.008
784,0.0,0.008
785,0.0,0.011000000000000001
786,0.0,0.012
787,0.0,0.018000000000000002
788,0.0,0.042
789,0.0,0.174
790,0.0,0.62
791,0.0,2.334
792,0.0,4.428
793,0.0,5.194
794,0.0,6.391
795,0.0,7.752999999999999
796,0.0,8.658999999999999
797,0.0,9.585
798,0.0,10.569
799,0.0,12.569
812,-8.423,0.003
813,-4.84,0.002
814,-1.449,0.002
815,1.528,0.002
816,4.477,0.002
817,-6.4910000000000005,0.002
818,-9.635,0.002
819,14.235,0.002
