,fossil_fuel_consumption,co2
0,2940.741,886.562
1,3057.225,884.168
2,3080.476,892.575
3,3244.701,967.22
4,3482.0640000000008,1036.686
5,3510.717,1057.342
6,3572.478,1090.195
7,3700.708,1132.293
8,3946.458,1181.391
9,4015.733,1191.035
10,4133.237,1218.023
11,4142.9540000000015,1258.7089999999998
12,4298.266,1253.144
13,4400.578,1260.316
14,4522.261,1363.5
15,4590.455,1322.735
16,4714.358,1356.719
17,4803.136,1384.372
18,4954.635,1385.645
19,5043.234,1408.479
20,,3.004
21,,3.221
22,,3.748
23,,4.232
24,,4.104
25,,4.199
26,,3.844
27,,3.829
28,,4.272
29,,4.254
30,,4.448
31,,5.031000000000001
32,,4.668
33,,4.928
34,,5.621
35,,4.496
36,,4.492
37,,5.3020000000000005
38,,4.734
39,,4.863
40,299.786,82.221
41,310.611,83.78
42,321.784,89.40700000000001
43,336.154,91.048
44,349.055,87.853
45,364.682,106.473
46,378.601,100.203
47,399.001,108.402
48,422.762,109.032
49,447.905,120.185
50,436.927,117.813
51,463.396,119.808
52,506.532,128.111
53,536.629,132.435
54,584.9259999999998,142.529
55,616.9209999999998,149.683
56,615.974,148.929
57,622.064,154.936
58,670.257,161.487
59,703.118,166.642
60,,9.516
61,,9.671
62,,12.598
63,,8.988999999999999
64,,18.701
65,,19.006
66,,22.102
67,,24.977
68,,25.486
69,,27.565
70,,28.865
71,,30.33
72,,33.801
73,,33.229
74,,33.296
75,,33.621
76,,31.404
77,,28.42
78,,24.376
79,,23.487
80,572.457,142.358
81,541.622,134.004
82,513.836,124.392
83,563.029,134.631
84,610.259,157.043
85,651.139,161.434
86,676.39,174.609
87,730.242,174.24599999999998
88,746.3589999999998,188.106
89,718.798,178.949
90,760.64,186.733
91,779.77,190.274
92,810.043,191.715
93,839.4060000000002,190.133
94,834.515,188.657
95,849.6310000000002,192.406
96,853.663,190.977
97,845.421,187.805
98,835.064,181.1
99,810.582,167.56599999999997
100,,3.491
101,,3.533
102,,3.077
103,,3.4560000000000004
104,,3.691
105,,4.376
106,,4.402
107,,5.1
108,,5.575
109,,4.363
110,,4.253
111,,4.968999999999999
112,,5.747999999999999
113,,5.535
114,,5.604
115,,5.468999999999999
116,,5.202999999999999
117,,5.537000000000001
118,,5.8260000000000005
119,,5.529
120,1264.793,351.82
121,1277.953,360.455
122,1296.045,367.11300000000006
123,1314.682,373.233
124,1358.446,386.766
125,1349.6329999999996,387.602
126,1432.939,397.295
127,1451.875,401.926
128,1475.171,409.653
129,1455.724,401.321
130,1450.189,404.533
131,1482.664,405.344
132,1466.9979999999996,402.666
133,1466.687,393.171
134,1497.662,399.254
135,1515.937,403.279
136,1516.339,415.945
137,1518.533,414.751
138,1526.401,416.001
139,1627.912,414.517
140,262.847,66.139
141,281.025,70.139
142,283.582,71.943
143,307.622,77.45100000000001
144,302.939,77.668
145,306.91,79.068
146,301.003,76.796
147,284.858,74.097
148,288.778,73.472
149,267.732,67.291
150,287.842,72.0
151,273.053,69.889
152,265.938,67.263
153,266.877,67.759
154,250.796,64.161
155,257.596,66.352
156,263.486,67.215
157,274.098,69.59899999999999
158,269.233,66.565
159,276.211,67.962
160,127.01,29.506
161,122.96,28.791
162,119.412,29.641
163,128.434,30.624
164,145.812,32.077
165,158.06799999999996,34.286
166,156.766,39.109
167,141.62,30.459
168,143.445,35.45
169,125.875,31.856
170,121.15,30.633000000000003
171,137.84,32.976
172,144.468,35.048
173,149.37,35.215
174,152.86,36.975
175,166.60299999999995,36.989
176,164.05599999999995,37.055
177,161.403,36.73
178,166.049,36.847
179,177.62900000000005,38.725
180,,18.794
181,,14.078
182,,15.868
183,,16.769000000000002
184,,17.884
185,,19.804
186,,19.421
187,,26.771
188,,29.681
189,,28.098000000000003
190,,29.075
191,,28.468000000000004
192,,27.019
193,,31.0
194,,30.818
195,,32.47
196,,31.373
197,,32.591
198,,32.61
199,,34.439
200,133.906,26.525
201,152.668,31.035
202,158.325,31.981
203,167.94400000000005,33.459
204,173.801,35.945
205,187.605,37.677
206,203.441,41.68899999999999
207,208.275,42.642
208,219.933,45.301
209,243.414,49.148
210,248.374,53.992
211,269.68,56.556
212,289.059,60.691
213,297.956,61.782
214,311.028,65.979
215,365.23,73.277
216,370.27,76.477
217,383.526,80.944
218,408.752,82.6
219,485.273,94.215
220,255.324,54.706
221,248.884,54.77
222,256.297,54.583
223,255.155,56.105
224,287.386,59.801
225,286.3520000000001,61.127
226,304.1690000000001,63.934
227,296.992,63.303
228,300.353,65.439
229,284.4890000000001,61.045
230,301.882,62.775
231,300.223,61.629
232,324.357,62.674
233,285.884,63.237
234,295.215,62.609
235,268.136,58.038
236,266.516,59.851000000000006
237,271.089,60.11600000000001
238,289.382,60.962
239,291.915,61.022
240,615.495,126.72
241,615.184,126.065
242,610.0269999999998,126.865
243,638.757,128.25
244,641.569,128.781
245,631.0930000000002,125.641
246,633.816,123.884
247,633.675,120.48
248,652.342,120.181
249,593.05,107.712
250,634.033,114.544
251,576.31,105.026
252,564.012,102.386
253,573.695,102.652
254,546.101,96.868
255,571.739,101.056
256,579.192,99.872
257,587.43,99.448
258,599.881,100.227
259,592.903,99.746
260,,1.473
261,,1.689
262,,2.11
263,,2.394
264,,2.594
265,,2.49
266,,3.3510000000000004
267,,3.931
268,,3.919
269,,4.225
270,,4.678999999999999
271,,4.48
272,,4.4030000000000005
273,,4.566
274,,4.796
275,,5.3260000000000005
276,,6.6
277,,6.938
278,,7.255
279,,7.315
280,,8.641
281,,8.292
282,,8.384
283,,9.985
284,,10.185
285,,11.175999999999998
286,,11.548
287,,12.663
288,,13.554
289,,14.229
290,,15.425999999999998
291,,16.992
292,,17.779
293,,19.094
294,,20.717
295,,21.278
296,,22.795
297,,23.562
298,,23.856
299,,23.848000000000003
300,,13.702
301,,13.263
302,,14.173
303,,14.358
304,,15.462
305,,16.046
306,,17.387
307,,17.474
308,,19.959
309,,20.537
310,,21.146
311,,23.761
312,,22.134
313,,21.801
314,,19.312
315,,18.46
316,,21.734
317,,21.819000000000003
318,,22.075
319,,24.847
320,,3.778
321,,3.847
322,,3.975
323,,3.825
324,,3.895
325,,4.093
326,,4.133
327,,4.228
328,,4.503
329,,3.855
330,,4.537
331,,4.029
332,,5.077
333,,5.662999999999999
334,,6.85
335,,5.425
336,,6.334
337,,7.059
338,,7.561
339,,6.925
340,1282.023,340.18300000000005
341,1322.3870000000004,346.166
342,1318.76,347.765
343,1311.017,344.645
344,1382.411,361.434
345,1406.5220000000004,364.371
346,1435.178,368.871
347,1492.973,390.573
348,1583.418,412.638
349,1492.023,389.775
350,1704.874,440.269
351,1795.044,462.58
352,1886.311,498.309
353,2037.776,532.418
354,2117.411,557.901
355,2048.107,529.3530000000001
356,1897.973,492.7480000000001
357,1932.736,500.758
358,1855.675,483.685
359,1854.374,485.793
360,157.811,45.466
361,166.12400000000005,48.982
362,157.05700000000004,46.156000000000006
363,169.71900000000005,50.533
364,163.96200000000005,49.585
365,173.828,50.656000000000006
366,177.915,51.894
367,187.188,55.74
368,180.61,54.07899999999999
369,152.059,45.815
370,154.92,47.861
371,170.679,53.176
372,156.89,48.341
373,140.972,42.68
374,148.406,45.217
375,159.51,48.276
376,151.024,45.502
377,158.987,47.582
378,149.52100000000004,43.638000000000005
379,145.404,42.223
380,,1.975
381,,2.25
382,,2.206
383,,2.378
384,,2.444
385,,2.774
386,,2.997
387,,3.471
388,,3.881
389,,4.557
390,,5.1
391,,5.194
392,,5.4510000000000005
393,,5.577999999999999
394,,6.494
395,,8.527000000000001
396,,10.533
397,,12.875
398,,12.879
399,,15.329
400,,3.346
401,,3.326
402,,3.325
403,,3.699
404,,3.851
405,,3.591
406,,3.752
407,,5.702999999999999
408,,5.426
409,,6.593999999999999
410,,6.662000000000001
411,,6.521
412,,6.159
413,,5.07
414,,6.85
415,,7.746
416,,7.815
417,,7.697999999999999
418,,7.932
419,,7.398
420,2340.522,566.552
421,2318.705,559.0419999999999
422,2386.203,564.669
423,2448.106,582.344
424,2448.534,580.759
425,2425.669,575.852
426,2387.713,571.41
427,2493.041,594.665
428,2451.737,579.367
429,2285.09,546.61
430,2401.931,558.804
431,2495.016,569.87
432,2441.658,569.263
433,2509.179,573.6990000000001
434,2568.967,570.563
435,2542.913,573.061
436,2513.077,559.567
437,2544.678,569.36
438,2638.454,579.47
