,renewables_electricity,gdp
0,77.704,
1,83.632,
2,87.932,
3,86.059,
4,91.186,
5,92.895,
6,96.90899999999999,
7,99.557,
8,101.816,
9,105.012,
10,113.75399999999999,
11,117.365,
12,118.555,
13,126.49600000000001,
14,136.269,
15,139.477,
16,139.253,
17,150.829,
18,162.585,
19,177.805,
20,4.548,16399011840.0
21,3.5189999999999997,16951805952.0
22,3.477,17037855744.0
23,5.117,17847300096.0
24,5.4110000000000005,18592794624.0
25,5.319,19691970560.0
26,4.9510000000000005,21411221504.0
27,2.76,22995980288.0
28,3.759,25764829184.0
29,5.2010000000000005,28006524928.0
30,7.492000000000001,27897407488.0
31,4.091,28451999744.0
32,4.678999999999999,31114752000.0
33,6.89,30586345472.0
34,4.678,32387278848.0
35,5.8370000000000015,33224144896.0
36,7.706,34351540224.0
37,4.481,
38,8.467,
39,5.176,
40,0.053,252000000000.0
41,0.068,252000000000.0
42,0.055999999999999994,266000000000.0
43,0.262,289000000000.0
44,0.248,308000000000.0
45,0.5489999999999999,354000000000.0
46,0.21600000000000005,386000000000.0
47,0.22399999999999998,398000000000.0
48,0.28,423000000000.0
49,0.303,392000000000.0
50,0.172,448000000000.0
51,0.4970000000000001,482000000000.0
52,0.616,493000000000.0
53,0.327,493000000000.0
54,0.252,494000000000.0
55,0.221,513000000000.0
56,0.332,534000000000.0
57,0.635,
58,0.73,
59,0.732,
60,0.903,18270171136.0
61,1.0070000000000001,21532884992.0
62,1.1320000000000001,24934770688.0
63,1.229,25932263424.0
64,1.733,31778297856.0
65,2.197,43459514368.0
66,2.638,60607725568.0
67,2.472,72748662784.0
68,3.103,88982708224.0
69,3.063,75516665856.0
70,3.676,95524052992.0
71,3.978,123000000000.0
72,3.748,128000000000.0
73,4.734,140000000000.0
74,5.044,144000000000.0
75,5.0969999999999995,148000000000.0
76,5.93,148000000000.0
77,7.794,
78,8.865,
79,10.121,
80,29.201,557000000000.0
81,37.321999999999996,525000000000.0
82,36.435,453000000000.0
83,34.553000000000004,487000000000.0
84,31.408,532000000000.0
85,35.039,584000000000.0
86,40.441,631000000000.0
87,32.884,694000000000.0
88,31.730999999999998,741000000000.0
89,34.929,692000000000.0
90,34.21,772000000000.0
91,32.257,836000000000.0
92,30.914,838000000000.0
93,34.849000000000004,847000000000.0
94,33.955,818000000000.0
95,33.741,840000000000.0
96,31.180999999999997,820000000000.0
97,33.476,
98,34.843,
99,34.856,
100,1.248,9858983936.0
101,0.958,10404185088.0
102,1.641,11264486400.0
103,1.962,12845384704.0
104,1.9780000000000002,13681249280.0
105,1.756,15262571520.0
106,1.808,17466900480.0
107,1.837,19888445440.0
108,1.781,21660479488.0
109,2.003,20310546432.0
110,2.537,22459838464.0
111,2.467,24861704192.0
112,2.303,25898418176.0
113,2.155,26405591040.0
114,1.976,27113279488.0
115,2.188,27930048512.0
116,2.33,27987372032.0
117,2.251,
118,2.316,
119,2.363,
120,17.422,680000000000.0
121,18.000999999999994,694000000000.0
122,17.712,724000000000.0
123,18.509,742000000000.0
124,18.52,773000000000.0
125,19.95,826000000000.0
126,21.480999999999998,842000000000.0
127,20.866,877000000000.0
128,19.605999999999998,932000000000.0
129,18.465,927000000000.0
130,21.72,994000000000.0
131,26.273000000000003,1030000000000.0
132,26.318,1020000000000.0
133,32.705,1010000000000.0
134,36.111999999999995,1020000000000.0
135,33.423,1050000000000.0
136,37.152,1070000000000.0
137,40.205999999999996,
138,44.44300000000001,
139,54.4,
140,43.434,288000000000.0
141,42.233000000000004,283000000000.0
142,41.896,292000000000.0
143,35.25199999999999,293000000000.0
144,39.629,303000000000.0
145,40.885,312000000000.0
146,40.669000000000004,325000000000.0
147,43.177,337000000000.0
148,44.53100000000001,342000000000.0
149,47.177,336000000000.0
150,44.99800000000001,341000000000.0
151,40.908,350000000000.0
152,51.328,365000000000.0
153,50.49100000000001,368000000000.0
154,50.18600000000001,386000000000.0
155,47.582,389000000000.0
156,51.083,395000000000.0
157,51.055,
158,50.036,
159,55.128,
160,1.5190000000000001,20935151616.0
161,1.288,22697379840.0
162,2.0,23994841088.0
163,2.444,25655795712.0
164,2.727,27732254720.0
165,2.9789999999999996,40730849280.0
166,2.4930000000000003,58473254912.0
167,2.34,80977575936.0
168,2.21,89389998080.0
169,2.285,95528968192.0
170,3.4130000000000003,115000000000.0
171,2.6489999999999996,146000000000.0
172,1.8030000000000002,150000000000.0
173,1.61,146000000000.0
174,1.466,149000000000.0
175,1.8130000000000002,151000000000.0
176,2.171,145000000000.0
177,1.9580000000000002,
178,2.033,
179,1.8840000000000001,
180,0.0,18573453312.0
181,0.0,18176229376.0
182,0.0,17574588416.0
183,0.0,21589673984.0
184,0.0,24214464512.0
185,0.0,32081874944.0
186,0.0,36242309120.0
187,0.0,40256888832.0
188,0.001,52838674432.0
189,0.002,43643830272.0
190,0.002,47179927552.0
191,0.002,47938297856.0
192,0.002,54356865024.0
193,0.002,53839859712.0
194,0.009000000000000001,52947091456.0
195,0.009000000000000001,54483828736.0
196,0.009000000000000001,56079929344.0
197,0.009000000000000001,
198,0.009000000000000001,
199,0.009000000000000001,
200,0.938,185000000000.0
201,0.9840000000000001,190000000000.0
202,1.057,201000000000.0
203,1.1179999999999999,208000000000.0
204,1.218,212000000000.0
205,1.286,224000000000.0
206,1.3869999999999998,244000000000.0
207,0.764,270000000000.0
208,0.963,301000000000.0
209,0.47100000000000003,326000000000.0
210,0.8370000000000001,373000000000.0
211,0.98,432000000000.0
212,0.8170000000000001,425000000000.0
213,1.08,446000000000.0
214,0.7959999999999999,466000000000.0
215,0.813,498000000000.0
216,1.252,533000000000.0
217,1.308,
218,1.375,
219,1.249,
220,0.027000000000000003,86161956864.0
221,0.03,83450003456.0
222,0.027999999999999997,85045567488.0
223,0.027999999999999997,89551101952.0
224,0.034,96194560000.0
225,0.066,101000000000.0
226,0.129,113000000000.0
227,0.124,124000000000.0
228,0.073,144000000000.0
229,0.105,141000000000.0
230,0.139,155000000000.0
231,0.14800000000000002,173000000000.0
232,0.20199999999999999,179000000000.0
233,0.297,188000000000.0
234,0.287,193000000000.0
235,0.326,185000000000.0
236,0.42,180000000000.0
237,0.782,
238,0.8029999999999999,
239,1.04,
240,1.044,343000000000.0
241,1.075,343000000000.0
242,1.138,358000000000.0
243,1.192,356000000000.0
244,1.4969999999999999,361000000000.0
245,2.106,370000000000.0
246,2.9530000000000003,370000000000.0
247,3.485,382000000000.0
248,4.416,392000000000.0
249,5.44,402000000000.0
250,6.494,420000000000.0
251,8.353,419000000000.0
252,10.437999999999999,430000000000.0
253,11.657,438000000000.0
254,12.254000000000001,437000000000.0
255,14.499,443000000000.0
256,14.339,448000000000.0
257,15.857000000000001,
258,17.139,
259,18.765,
260,0.002,9855690752.0
261,0.002,10586772480.0
262,0.002,11740367872.0
263,0.002,12538386432.0
264,0.001,13420641280.0
265,0.001,14225961984.0
266,0.005,14626272256.0
267,0.004,15620586496.0
268,0.004,16187101184.0
269,0.002,16326744064.0
270,0.002,16880384000.0
271,0.002,17120700416.0
272,0.002,18295693312.0
273,0.003,19378673664.0
274,0.003,21256812544.0
275,0.006999999999999999,22371309568.0
276,0.01,23265005568.0
277,0.006,
278,0.005,
279,0.005,
280,2.0069999999999997,24453879808.0
281,2.162,25577918464.0
282,2.235,26975635456.0
283,2.021,28345468928.0
284,2.1830000000000003,30184128512.0
285,2.001,32590215168.0
286,2.195,34446999552.0
287,2.358,36591730688.0
288,2.384,41332305920.0
289,2.394,43342348288.0
290,2.24,47795335168.0
291,2.412,53944389632.0
292,2.4130000000000003,57088921600.0
293,2.6039999999999996,60914401280.0
294,2.33,61489704960.0
295,2.659,64471166976.0
296,1.926,67114459136.0
297,2.421,
298,2.968,
299,3.748,
300,5.043,22914473984.0
301,5.129,23051558912.0
302,5.215,24114681856.0
303,4.456,23691220992.0
304,5.919,23102699520.0
305,5.938,25861679104.0
306,5.797999999999999,28102733824.0
307,3.9610000000000003,30910529536.0
308,4.8180000000000005,32805036032.0
309,6.1770000000000005,34366640128.0
310,7.9460000000000015,34437017600.0
311,4.343999999999999,35664781312.0
312,4.1739999999999995,37336076288.0
313,7.165,38494396416.0
314,5.8770000000000024,39634432000.0
315,5.496,40849018880.0
316,5.6110000000000015,41870385152.0
317,3.78,
318,6.4860000000000015,
319,6.315,
320,0.0,15763874816.0
321,0.0,15779424256.0
322,0.0,18706720768.0
323,0.0,18380249088.0
324,0.0,19293714432.0
325,0.0,21960869888.0
326,0.0,22822098944.0
327,0.0,23521949696.0
328,0.0,23539697664.0
329,0.0,21862223872.0
330,0.0,24107864064.0
331,0.0,26899136512.0
332,0.001,27167825920.0
333,0.002,27425443840.0
334,0.003,31468800000.0
335,0.003,31387396096.0
336,0.005,32747714560.0
337,0.005,
338,0.005,
339,0.005,
340,309.205,1470000000000.0
341,274.212,1460000000000.0
342,293.51099999999997,1480000000000.0
343,314.515,1480000000000.0
344,330.126,1560000000000.0
345,347.76599999999996,1630000000000.0
346,360.277,1770000000000.0
347,388.945,1970000000000.0
348,386.515,2210000000000.0
349,410.918,2300000000000.0
350,432.92900000000003,2660000000000.0
351,459.191,2970000000000.0
352,451.89099999999996,2960000000000.0
353,434.42900000000003,3040000000000.0
354,428.619,3040000000000.0
355,427.281,3180000000000.0
356,461.61300000000006,2810000000000.0
357,462.93800000000016,
358,490.92800000000005,
359,511.05300000000005,
360,2.6310000000000002,68578938880.0
361,1.651,71572488192.0
362,2.116,75092246528.0
363,2.995,76743450624.0
364,3.14,80431669248.0
365,4.302,84497326080.0
366,4.2330000000000005,92283183104.0
367,2.877,103000000000.0
368,2.93,110000000000.0
369,3.679,110000000000.0
370,5.763,111000000000.0
371,3.889,111000000000.0
372,5.278,115000000000.0
373,6.8820000000000014,116000000000.0
374,7.385,120000000000.0
375,8.76,124000000000.0
376,7.045,128000000000.0
377,6.131,
378,9.3,
379,7.172999999999999,
380,0.047,15881768960.0
381,0.031,17062276096.0
382,0.03,18234327040.0
383,0.049,19668613120.0
384,0.042,20924801024.0
385,0.059000000000000004,24951465984.0
386,0.065,26783873024.0
387,0.065,30065944576.0
388,0.062,33262047232.0
389,0.057999999999999996,32224854016.0
390,0.055,33478596608.0
391,0.07400000000000001,36606337024.0
392,0.535,39422988288.0
393,1.02,44624257024.0
394,1.8530000000000002,45967020032.0
395,2.021,49188130816.0
396,2.638,52640825344.0
397,2.763,
398,4.77,
399,4.119,
400,3.408,35329376256.0
401,3.4389999999999996,36148596736.0
402,3.15,37470752768.0
403,3.4930000000000003,39493361664.0
404,3.8810000000000002,40660705280.0
405,3.734,42509447168.0
406,4.496,44672548864.0
407,3.885,45796945920.0
408,4.2669999999999995,47176802304.0
409,4.047,47888769024.0
410,4.277,50016722944.0
411,4.417,52887764992.0
412,4.2810000000000015,55905361920.0
413,4.402,57928609792.0
414,4.408,61295681536.0
415,4.36,64840175616.0
416,4.378,67720478720.0
417,5.093,
418,5.032,
419,5.401,
420,363.46,1150000000000.0
421,338.9840000000001,1150000000000.0
422,356.55800000000005,1170000000000.0
423,344.009,1210000000000.0
424,347.244,1260000000000.0
425,369.001,1330000000000.0
426,360.582,1360000000000.0
427,375.434,1400000000000.0
428,384.642,1460000000000.0
429,381.463,1320000000000.0
430,368.92699999999996,1390000000000.0
431,394.43300000000005,1460000000000.0
432,401.106,1450000000000.0
433,419.705,1480000000000.0
434,414.21,1530000000000.0
435,417.339,1540000000000.0
436,426.154,1570000000000.0
437,437.096,
438,429.615,
439,423.82,
440,20.494,167000000000.0
441,22.868000000000002,167000000000.0
442,23.993000000000002,168000000000.0
443,23.271,177000000000.0
444,23.796999999999997,194000000000.0
445,28.015,215000000000.0
446,30.276,253000000000.0
447,25.604,271000000000.0
448,27.072,264000000000.0
449,29.396,269000000000.0
450,24.22,309000000000.0
451,25.948,340000000000.0
452,25.24,361000000000.0
453,26.0,367000000000.0
454,30.061999999999998,376000000000.0
455,32.368,385000000000.0
456,33.801,391000000000.0
457,34.374,
458,37.507,
459,36.44,
460,32.255,267000000000.0
461,31.982,269000000000.0
462,34.125,273000000000.0
463,36.314,282000000000.0
464,40.202,296000000000.0
465,39.964,318000000000.0
466,42.915,349000000000.0
467,44.589,384000000000.0
468,46.537,419000000000.0
469,41.246,428000000000.0
470,42.46100000000001,467000000000.0
471,50.43600000000001,524000000000.0
472,49.122,543000000000.0
473,50.87300000000001,559000000000.0
474,48.817,581000000000.0
475,49.53,599000000000.0
476,50.12600000000001,610000000000.0
477,62.263999999999996,
478,60.855,
479,55.496,
480,0.292,8014652928.0
481,0.331,7468848128.0
482,0.392,7848606208.0
483,0.33899999999999997,7996828160.0
484,0.327,9966012416.0
485,0.35100000000000003,13575520256.0
486,0.368,15415371776.0
487,0.332,12971907072.0
488,0.371,15151250432.0
