GHG emissions from fuel combustion,,,,,,,Source:,,"IEA (2021), GHG Emissions from Energy",,,,,,,,,,,,,,"IEA, All rights reserved ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Documentation:,,Accessible here,,,,,,,,,,,,,,https://www.iea.org/terms,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to the table of contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
million tonnes of CO2 eq,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World, 14 284, 14 968, 15 816, 15 787, 15 853, 16 687, 17 251, 17 761, 18 287, 18 108, 17 879, 17 693, 17 806, 18 402, 18 682, 19 016, 19 655, 20 318, 20 697, 20 988, 21 116, 21 055, 21 176, 21 272, 21 857, 22 304, 22 711, 22 886, 23 025, 23 743, 24 091, 24 434, 25 478, 26 666, 27 631, 28 509, 29 563, 29 785, 29 347, 31 152, 32 034, 32 385, 33 000, 33 061, 32 963, 32 987, 33 535, 34 249, 34 234,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annex I Parties ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.., 13 889, 13 772, 13 473, 13 274, 13 090, 13 156, 13 416, 13 489, 13 491, 13 532, 13 797, 13 818, 13 706, 13 975, 14 036, 14 041, 14 013, 14 147, 13 815, 12 895, 13 421, 13 227, 13 020, 13 026, 12 762, 12 598, 12 498, 12 471, 12 594, 12 261,..
   Annex II Parties   , 8 686, 9 071, 9 559, 9 314, 8 953, 9 457, 9 635, 9 695, 9 908, 9 534, 9 279, 8 922, 8 843, 9 117, 9 189, 9 170, 9 372, 9 681, 9 825, 9 782, 9 804, 9 845, 9 904, 10 050, 10 169, 10 466, 10 682, 10 764, 10 815, 11 044, 11 068, 10 967, 11 141, 11 226, 11 242, 11 107, 11 208, 10 884, 10 181, 10 565, 10 269, 10 077, 10 170, 9 957, 9 841, 9 722, 9 630, 9 685, 9 367,..
      North America      , 4 684, 4 944, 5 128, 4 985, 4 793, 5 069, 5 248, 5 241, 5 284, 5 082, 5 000, 4 769, 4 736, 4 944, 4 972, 4 928, 5 096, 5 338, 5 416, 5 280, 5 237, 5 324, 5 439, 5 527, 5 588, 5 761, 6 044, 6 099, 6 127, 6 315, 6 279, 6 140, 6 228, 6 299, 6 328, 6 218, 6 334, 6 137, 5 713, 5 963, 5 749, 5 521, 5 670, 5 683, 5 562, 5 470, 5 403, 5 567, 5 401,..
      Europe      , 3 085, 3 165, 3 349, 3 244, 3 105, 3 302, 3 262, 3 340, 3 483, 3 349, 3 199, 3 092, 3 051, 3 049, 3 101, 3 125, 3 142, 3 134, 3 158, 3 156, 3 207, 3 147, 3 094, 3 092, 3 129, 3 228, 3 161, 3 205, 3 186, 3 203, 3 267, 3 258, 3 334, 3 339, 3 319, 3 312, 3 251, 3 185, 2 956, 3 042, 2 904, 2 899, 2 842, 2 671, 2 707, 2 684, 2 665, 2 599, 2 481,..
      Asia Oceania,  916,  961, 1 082, 1 085, 1 055, 1 086, 1 126, 1 115, 1 142, 1 104, 1 080, 1 062, 1 056, 1 124, 1 116, 1 116, 1 133, 1 209, 1 251, 1 346, 1 359, 1 375, 1 372, 1 430, 1 452, 1 477, 1 477, 1 459, 1 502, 1 526, 1 523, 1 569, 1 579, 1 588, 1 595, 1 578, 1 624, 1 563, 1 512, 1 561, 1 615, 1 656, 1 658, 1 603, 1 572, 1 568, 1 561, 1 519, 1 485,..
   Annex I EIT   ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.., 3 967, 3 825, 3 479, 3 214, 2 888, 2 821, 2 767, 2 615, 2 536, 2 526, 2 539, 2 554, 2 533, 2 617, 2 589, 2 569, 2 652, 2 658, 2 654, 2 439, 2 573, 2 657, 2 632, 2 559, 2 485, 2 426, 2 426, 2 450, 2 522, 2 516,..
Non-Annex I Parties ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.., 6 463, 6 700, 6 901, 7 229, 7 482, 7 977, 8 143, 8 451, 8 599, 8 656, 9 084, 9 443, 9 858, 10 627, 11 676, 12 590, 13 443, 14 312, 14 857, 15 393, 16 601, 17 661, 18 265, 18 869, 19 156, 19 169, 19 250, 19 768, 20 332, 20 658,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annex B Kyoto Parties,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.., 5 448, 5 396, 5 179, 4 990, 4 853, 4 858, 4 919, 4 793, 4 790, 4 716, 4 716, 4 799, 4 797, 4 945, 4 952, 4 934, 4 975, 4 950, 4 906, 4 554, 4 697, 4 580, 4 544, 4 461, 4 174, 4 156, 4 178, 4 174, 4 115, 3 946,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD Total, 9 496, 9 917, 10 452, 10 241, 9 916, 10 482, 10 718, 10 843, 11 096, 10 759, 10 493, 10 161, 10 092, 10 416, 10 525, 10 526, 10 779, 11 094, 11 254, 11 252, 11 295, 11 318, 11 413, 11 591, 11 742, 12 123, 12 383, 12 394, 12 446, 12 767, 12 791, 12 689, 12 916, 13 044, 13 082, 13 009, 13 169, 12 847, 12 115, 12 607, 12 367, 12 182, 12 245, 11 995, 11 933, 11 868, 11 838, 11 867, 11 495, 10 579
Non-OECD Total, 4 260, 4 496, 4 780, 4 994, 5 417, 5 674, 5 986, 6 362, 6 618, 6 784, 6 847, 7 018, 7 218, 7 478, 7 620, 7 912, 8 287, 8 604, 8 810, 9 100, 9 177, 9 055, 9 089, 8 981, 9 391, 9 436, 9 557, 9 696, 9 742, 10 113, 10 469, 10 876, 11 687, 12 667, 13 549, 14 448, 15 290, 15 825, 16 173, 17 414, 18 522, 19 103, 19 650, 19 923, 19 834, 19 881, 20 401, 21 059, 21 425,..
International marine bunkers,  358,  374,  395,  370,  345,  355,  355,  357,  368,  361,  335,  302,  283,  287,  309,  329,  325,  341,  341,  375,  390,  419,  406,  418,  432,  442,  453,  467,  494,  507,  481,  500,  507,  558,  577,  615,  652,  653,  621,  668,  669,  623,  621,  642,  666,  685,  709,  707,  692,..
International aviation bunkers,  171,  181,  188,  181,  175,  176,  192,  199,  206,  205,  204,  211,  213,  221,  227,  249,  264,  279,  293,  261,  254,  262,  267,  281,  292,  303,  318,  329,  343,  356,  349,  370,  368,  397,  422,  438,  452,  460,  438,  462,  476,  477,  485,  501,  529,  553,  587,  615,  623,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Canada,  345.6,  363.5,  381.5,  391.3,  382.9,  395.1,  407.6,  409.2,  423.6,  428.7,  409.0,  391.5,  384.8,  400.2,  399.7,  391.6,  402.5,  432.9,  448.5,  416.1,  410.4,  423.3,  420.4,  436.0,  445.7,  459.9,  474.7,  481.7,  491.3,  511.1,  503.7,  522.3,  542.1,  534.1,  546.9,  537.4,  568.3,  548.0,  520.2,  534.3,  546.9,  545.5,  555.1,  560.2,  557.3,  556.4,  567.2,  579.2,  579.6,  531.2
Chile,  21.7,  21.3,  20.6,  20.3,  17.7,  18.5,  19.3,  20.1,  21.3,  22.1,  22.0,  19.1,  19.8,  21.0,  20.4,  21.1,  21.4,  25.8,  31.0,  30.6,  29.4,  30.5,  32.2,  35.4,  38.5,  44.5,  51.1,  51.7,  54.3,  50.3,  48.3,  49.1,  50.3,  55.1,  56.1,  57.4,  64.9,  68.4,  66.1,  70.5,  77.4,  79.7,  84.5,  77.3,  83.0,  87.2,  88.2,  87.8,  92.6,  81.7
Mexico,  96.7,  109.5,  120.9,  131.7,  138.0,  148.8,  158.1,  174.1,  188.0,  209.1,  224.3,  235.1,  228.4,  236.5,  245.9,  244.7,  254.5,  253.3,  267.3,  262.6,  281.0,  284.0,  291.5,  315.5,  297.2,  310.8,  329.2,  351.7,  342.2,  366.2,  367.0,  374.6,  393.3,  403.0,  419.6,  434.3,  440.9,  442.2,  432.7,  448.1,  464.2,  467.2,  457.4,  441.8,  450.1,  454.0,  453.8,  431.5,  426.9,  387.7
United States, 4 338.9, 4 580.9, 4 746.1, 4 594.2, 4 409.9, 4 674.1, 4 840.8, 4 831.9, 4 860.3, 4 652.9, 4 591.0, 4 377.3, 4 351.1, 4 543.9, 4 572.4, 4 536.8, 4 693.9, 4 905.0, 4 967.6, 4 864.1, 4 826.6, 4 900.3, 5 018.2, 5 091.1, 5 142.6, 5 300.7, 5 569.4, 5 617.2, 5 636.1, 5 803.8, 5 775.1, 5 618.0, 5 685.6, 5 765.1, 5 781.2, 5 680.3, 5 765.3, 5 588.5, 5 193.1, 5 428.2, 5 202.6, 4 975.2, 5 114.6, 5 123.1, 5 004.5, 4 914.1, 4 836.2, 4 987.5, 4 821.3, 4 354.2
OECD Americas, 4 831.3, 5 104.1, 5 299.3, 5 169.8, 4 978.6, 5 268.4, 5 458.6, 5 470.3, 5 528.6, 5 349.6, 5 283.2, 5 060.6, 5 023.5, 5 241.6, 5 280.1, 5 236.5, 5 417.2, 5 662.3, 5 761.6, 5 621.4, 5 597.2, 5 689.5, 5 816.6, 5 932.2, 5 980.7, 6 172.4, 6 484.9, 6 563.0, 6 577.0, 6 787.0, 6 750.0, 6 617.8, 6 724.5, 6 810.6, 6 858.1, 6 763.8, 6 895.0, 6 703.5, 6 271.1, 6 541.5, 6 356.1, 6 132.5, 6 284.6, 6 277.4, 6 170.6, 6 090.4, 6 016.4, 6 160.6, 5 997.6, 5 427.3
Australia,  145.8,  151.0,  160.4,  175.2,  182.2,  184.6,  198.8,  193.9,  200.3,  209.7,  210.4,  216.7,  204.8,  211.1,  223.3,  224.7,  235.0,  244.1,  257.7,  263.2,  264.5,  268.6,  272.7,  278.6,  289.1,  299.6,  307.0,  327.7,  332.9,  338.8,  345.1,  353.2,  352.2,  365.6,  369.8,  375.1,  385.4,  388.7,  395.1,  387.7,  386.1,  386.1,  379.8,  370.5,  376.8,  385.0,  389.4,  386.9,  385.2,  380.4
Israel,  13.9,  14.6,  15.8,  16.0,  16.6,  16.6,  17.5,  18.7,  19.2,  19.0,  19.8,  21.1,  22.0,  22.9,  24.5,  27.0,  29.3,  31.0,  32.2,  33.1,  33.7,  35.9,  39.4,  42.3,  45.3,  47.5,  49.7,  49.8,  51.2,  55.4,  56.7,  59.8,  61.6,  61.7,  59.3,  62.6,  64.9,  65.1,  64.4,  69.1,  68.1,  74.4,  65.4,  62.9,  64.5,  63.5,  64.2,  59.9,  61.5,  58.6
Japan,  756.8,  794.7,  904.3,  892.4,  856.0,  882.8,  907.7,  902.4,  924.8,  877.3,  853.3,  826.9,  832.9,  893.8,  873.2,  873.4,  878.6,  944.6,  972.6, 1 060.2, 1 072.2, 1 082.1, 1 075.2, 1 127.7, 1 138.3, 1 151.8, 1 142.4, 1 104.6, 1 140.1, 1 157.5, 1 146.0, 1 184.6, 1 193.5, 1 189.2, 1 191.3, 1 168.1, 1 205.0, 1 139.9, 1 085.6, 1 142.4, 1 198.9, 1 238.4, 1 246.4, 1 200.6, 1 163.5, 1 151.7, 1 138.8, 1 099.8, 1 065.8, 1 033.2
Korea,  54.7,  56.7,  70.5,  74.0,  80.1,  89.0,  101.5,  110.5,  124.5,  129.0,  134.8,  134.6,  142.7,  155.4,  160.0,  166.7,  172.9,  196.6,  207.5,  236.3,  259.9,  279.6,  306.3,  330.6,  360.5,  385.0,  405.7,  346.5,  381.3,  435.3,  449.4,  439.6,  441.5,  463.6,  461.5,  468.7,  481.5,  493.0,  506.4,  555.4,  578.4,  580.1,  579.3,  567.5,  587.2,  594.3,  605.4,  611.1,  590.7,  575.6
New Zealand,  13.7,  15.7,  17.0,  17.7,  16.8,  18.5,  19.1,  18.6,  16.7,  16.8,  16.6,  18.3,  18.4,  18.8,  19.3,  18.2,  19.5,  20.8,  20.9,  22.2,  22.5,  24.2,  23.9,  24.2,  24.3,  25.3,  27.6,  27.2,  28.6,  29.4,  31.6,  31.5,  33.4,  32.9,  34.2,  34.3,  33.1,  34.0,  31.0,  31.0,  30.2,  32.0,  31.7,  31.8,  32.0,  31.1,  32.9,  32.3,  34.0,  33.7
OECD Asia Oceania,  985.0, 1 032.7, 1 167.9, 1 175.3, 1 151.7, 1 191.6, 1 244.6, 1 244.1, 1 285.4, 1 251.8, 1 234.9, 1 217.6, 1 220.8, 1 302.0, 1 300.3, 1 309.9, 1 335.3, 1 437.0, 1 491.0, 1 615.1, 1 652.8, 1 690.4, 1 717.5, 1 803.3, 1 857.5, 1 909.2, 1 932.4, 1 855.8, 1 934.1, 2 016.4, 2 028.9, 2 068.7, 2 082.2, 2 113.1, 2 116.2, 2 108.8, 2 169.9, 2 120.7, 2 082.5, 2 185.6, 2 261.7, 2 311.0, 2 302.6, 2 233.4, 2 224.0, 2 225.6, 2 230.7, 2 190.0, 2 137.3, 2 081.4
Austria,  49.6,  51.4,  54.9,  52.1,  50.5,  54.9,  52.3,  54.7,  57.0,  55.5,  52.7,  51.0,  50.6,  52.3,  54.0,  53.0,  53.7,  52.0,  52.0,  57.6,  61.9,  57.0,  57.2,  57.5,  60.9,  64.7,  63.8,  64.4,  62.8,  63.2,  67.6,  69.0,  74.2,  75.5,  75.9,  73.7,  70.7,  70.2,  64.2,  70.1,  68.3,  65.2,  65.8,  62.1,  63.3,  63.7,  65.9,  62.9,  64.7,  58.9
Belgium,  119.4,  129.4,  134.6,  132.4,  116.8,  125.9,  124.6,  130.0,  133.6,  126.7,  116.2,  109.8,  101.0,  102.9,  102.1,  102.4,  102.4,  104.1,  105.5,  107.6,  112.2,  110.4,  108.1,  112.8,  112.4,  117.6,  114.5,  117.3,  113.4,  115.0,  116.4,  108.8,  113.6,  112.2,  108.7,  106.5,  102.6,  105.0,  98.0,  105.4,  94.9,  93.8,  95.3,  88.6,  94.0,  93.1,  91.7,  92.4,  91.4,  84.5
