,fossil_prod_change_twh,solar_electricity,wind_electricity
0,425.882,0.013000000000000001,0.17600000000000002
1,-1.5729999999999977,0.016,0.41600000000000004
2,67.293,0.019,0.445
3,596.0630000000001,0.023,0.541
4,634.651,0.027000000000000003,0.769
5,271.992,0.032,0.782
6,255.16600000000005,0.040999999999999995,0.853
7,220.634,0.053,1.016
8,164.97399999999996,0.075,1.3119999999999998
9,-347.537,0.098,1.59
10,340.11199999999997,0.214,2.2840000000000003
11,-955.8539999999998,0.45299999999999996,2.537
12,539.5369999999999,0.551,2.9619999999999997
13,-458.688,0.8240000000000001,3.56
14,-156.20999999999998,1.831,5.1579999999999995
15,-66.27199999999999,3.596,8.888
16,-215.986,4.939,11.306
17,483.45900000000006,6.984,12.458
18,285.696,9.85,14.288
19,20.57399999999999,19.378,17.508
55,-5.564,0.057999999999999996,0.019
56,113.65100000000001,0.087,0.028999999999999998
57,-4.696999999999999,0.5720000000000001,0.008
58,-6.607999999999999,0.603,0.011000000000000001
59,-87.835,0.615,0.011000000000000001
91,-37.096000000000004,0.002,0.059000000000000004
92,-14.267,0.008,0.8220000000000001
93,-28.957,0.015,1.0070000000000001
94,-5.34,0.016,0.619
95,13.065,0.015,0.593
96,1.4839999999999982,0.013999999999999999,0.5479999999999999
97,-17.472,0.016,0.612
98,26.264,0.10800000000000001,1.413
99,36.903,0.8,4.997
115,0.0,0.001,0.003
116,0.0,0.001,0.002
117,0.0,0.003,0.002
118,0.0,0.019,0.002
119,0.0,0.013000000000000001,0.003
120,181.398,0.038,0.057999999999999996
121,143.414,0.044000000000000004,0.21
122,67.247,0.05,0.364
123,29.211000000000006,0.059000000000000004,0.703
124,68.21299999999998,0.069,0.705
125,130.21300000000002,0.079,0.885
126,58.915000000000006,0.091,1.713
127,115.894,0.109,2.611
128,65.058,0.127,3.093
129,132.016,0.16,3.806
130,190.118,0.389,5.052
131,-82.436,1.392,6.085
132,278.164,2.325,6.97
133,213.082,3.4760000000000004,7.96
134,299.082,4.01,10.252
135,65.705,5.023,11.467
136,195.173,6.209,12.199000000000002
137,66.57700000000001,8.071,12.597000000000001
138,329.98199999999997,9.929,15.164000000000001
139,321.26,14.218,21.143
140,0.0,0.003,0.067
141,0.0,0.005,0.105
142,0.0,0.009000000000000001,0.14
143,0.0,0.015,0.3720000000000001
144,0.0,0.018000000000000002,0.934
145,0.0,0.021,1.331
