,fossil_production,gdp
0,7183.558,
1,7181.984,
2,7249.276999999999,
3,7845.340000000001,
4,8479.991,
5,8751.983999999999,
6,9007.149,
7,9227.785,
8,9392.757999999998,
9,9045.22,
10,9385.332,
11,8429.478,
12,8969.015,
13,8510.328000000001,
14,8354.117999999999,
15,8287.846,
16,8071.860000000001,
17,8555.319,
18,8841.016,
19,8861.589,
20,4.234999999999999,16399011840.0
21,4.399,16951805952.0
22,4.659,17037855744.0
23,5.0169999999999995,17847300096.0
24,5.013,18592794624.0
25,5.172,19691970560.0
26,5.674,21411221504.0
27,4.563000000000001,22995980288.0
28,4.542,25764829184.0
29,3.938,28006524928.0
30,7.45,27897407488.0
31,10.589999999999998,28451999744.0
32,11.585999999999999,31114752000.0
33,11.685999999999998,30586345472.0
34,14.174,32387278848.0
35,13.972,33224144896.0
36,15.863999999999999,34351540224.0
37,0.0,
38,0.0,
39,0.0,
40,1694.359,252000000000.0
41,1628.169,252000000000.0
42,1712.5759999999996,266000000000.0
43,1855.914,289000000000.0
44,1890.671,308000000000.0
45,1852.756,354000000000.0
46,1813.8980000000001,386000000000.0
47,1820.614,398000000000.0
48,1810.1789999999999,423000000000.0
49,1662.442,392000000000.0
50,1630.576,448000000000.0
51,1628.2150000000001,482000000000.0
52,1564.8449999999998,493000000000.0
53,1545.6039999999998,493000000000.0
54,1600.2330000000002,494000000000.0
55,1594.67,513000000000.0
56,1708.321,534000000000.0
57,1703.6240000000003,
58,1697.016,
59,1609.1820000000007,
60,427.87,18270171136.0
61,424.38599999999997,21532884992.0
62,517.856,24934770688.0
63,497.336,25932263424.0
64,633.769,31778297856.0
65,724.933,43459514368.0
66,797.439,60607725568.0
67,942.6410000000001,72748662784.0
68,1071.597,88982708224.0
69,998.9839999999999,75516665856.0
70,1032.559,95524052992.0
71,952.4810000000001,123000000000.0
72,990.38,128000000000.0
73,989.336,140000000000.0
74,966.944,144000000000.0
75,1023.6669999999999,148000000000.0
76,995.863,148000000000.0
77,947.525,
78,860.215,
79,801.9119999999997,
80,843.9030000000001,557000000000.0
81,871.2539999999999,525000000000.0
82,853.63,453000000000.0
83,899.484,487000000000.0
84,912.8140000000001,532000000000.0
85,900.871,584000000000.0
86,906.1860000000001,631000000000.0
87,879.685,694000000000.0
88,867.44,741000000000.0
89,798.297,692000000000.0
90,776.3710000000001,772000000000.0
91,739.2760000000001,836000000000.0
92,725.008,838000000000.0
93,696.0520000000001,847000000000.0
94,690.7110000000001,818000000000.0
95,703.7760000000001,840000000000.0
96,705.26,820000000000.0
97,687.788,
98,714.052,
99,750.9549999999999,
100,0.0,9858983936.0
101,0.0,10404185088.0
102,0.0,11264486400.0
103,0.0,12845384704.0
104,0.0,13681249280.0
105,0.0,15262571520.0
106,0.0,17466900480.0
107,0.0,19888445440.0
108,0.0,21660479488.0
109,0.0,20310546432.0
110,0.0,22459838464.0
111,0.0,24861704192.0
112,0.0,25898418176.0
113,0.0,26405591040.0
114,0.0,27113279488.0
115,0.0,27930048512.0
116,0.0,27987372032.0
117,0.0,
118,0.0,
119,0.0,
120,2739.4210000000003,680000000000.0
121,2882.836,694000000000.0
122,2950.084,724000000000.0
123,2979.2960000000003,742000000000.0
124,3047.5080000000003,773000000000.0
125,3177.721,826000000000.0
126,3236.638,842000000000.0
127,3352.5299999999997,877000000000.0
128,3417.589000000001,932000000000.0
129,3549.6049999999996,927000000000.0
130,3739.723,994000000000.0
131,3657.2859999999996,1030000000000.0
