,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_generation,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_electricity,other_renewable_exc_biofuel_electricity,renewables_electricity,solar_electricity,wind_electricity,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita,other_renewables_share_elec,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,gdp,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita,rd,co2,fossil_production,fossil,energy
121,Australia,2001,8.068,161.101,4.645,14.49,-7.471,-32.177,0.92,12.085999999999999,0.638,70.331,,0.0,0.0,0.0,0.0,,79.512,-1.0090000000000001,44.177,-5.972,585.612,8770.921,30508.589,2157.923,112421.08300000001,211.738,1.35,168.358,193.737,22.930999999999997,16.397000000000002,0.0,2.448,1.35,0.0,18.000999999999994,0.044000000000000004,0.21,1.91,69059.245,1.04,96.406,13.16,1277.953,66577.396,10093.088,91.49799999999999,10.83,7.853,16.724,16.142,221.69299999999998,1194.6580000000001,11549.537,326.413,17005.128,7.744,-2.719,3.3569999999999998,-1.244,44.497,854.2330000000003,2318.141,8.502,18.000999999999994,937.796,-2.205,3.594,-1.074,47.638999999999996,2481.849,0.0,,0.0,0.0,0.0,0.0,0.0,1.156,0.639,35.505,2.989,470.647,127.509,24519.271,398.5,20760.59,70.331,0.638,-10.925,0.166,-0.27,2.201,114.66,11030.883999999998,19195000.0,1325.592,937.796,8.502,-2.205,3.594,-1.074,47.638999999999996,2481.849,0.021,15.077,0.011000000000000001,0.02,0.149,2.292,7.785,694000000000.0,0.099,112.788,0.06,0.42,0.792,10.94,41.26300000000001,0.206,360.455,2882.836,2.255823179725702,0.3778626755389491
123,Australia,2003,3.372,75.001,2.255,7.441,-13.440999999999999,-53.231,1.507,20.273,0.758,82.552,,0.0,0.0,0.0,0.0,,76.497,2.864,45.106,17.15,615.945,8327.502,31387.31700000001,2299.05,117154.991,213.62900000000002,1.62,163.41899999999995,195.12,28.378,16.127,0.0,3.322,1.62,0.0,18.509,0.059000000000000004,0.703,1.84,69585.462,1.4380000000000002,96.275,18.637999999999998,1314.682,66993.599,9942.905,91.336,13.284,0.787,16.839000000000002,1.795,229.94299999999998,1446.1029999999994,11717.442,337.4530000000001,17195.91,7.548999999999999,0.07200000000000001,3.234,0.032,44.163000000000004,821.8,2250.479,8.664,18.509,943.182,3.321,3.725,1.635,50.863,2591.864,0.0,,0.0,0.0,0.0,0.0,0.0,1.555,-0.065,34.33,-0.307,468.795,169.3,23888.84,342.793,17468.056,82.552,0.758,32.693000000000005,0.33799999999999997,1.136,4.609,234.86900000000003,10886.086000000001,19624000.0,1365.545,943.182,8.664,3.321,3.725,1.635,50.863,2591.864,0.027999999999999997,7.71,0.013000000000000001,0.012,0.172,3.0069999999999997,8.774,742000000000.0,0.32899999999999996,31.11,0.14,0.455,1.9180000000000001,35.823,97.742,0.17600000000000002,373.233,2979.2960000000003,2.2661723519451855,0.3638991015079724
124,Australia,2004,3.905,89.78299999999999,6.475,21.851,-12.667,-43.42100000000001,3.32,45.33600000000001,0.8340000000000001,93.561,,0.0,0.0,0.0,0.0,,78.20100000000002,4.203,45.49100000000001,25.886,641.831,8774.913,32285.242000000002,2388.833,120162.623,223.072,1.86,174.445,204.55200000000002,26.671,15.886,0.0,3.4360000000000004,1.86,0.0,18.52,0.069,0.705,1.825,70969.86,3.3289999999999997,96.28399999999999,43.763999999999996,1358.4460000000001,68332.317,10289.359,91.698,11.956,1.9980000000000002,16.623,4.593,234.53599999999997,1341.589,11797.595,359.30300000000005,18073.612,7.121,-3.8480000000000003,3.01,-1.699,42.464,799.095,2136.011,8.302,18.52,931.59,3.09,3.716,1.5719999999999998,52.434,2637.5429999999997,0.0,,0.0,0.0,0.0,0.0,0.0,1.54,2.8339999999999996,34.169000000000004,13.285,482.08,172.857,24249.48,299.372,15058.976,93.561,0.8340000000000001,65.346,0.54,3.012,7.621,383.345,11220.948999999999,19880000.0,1410.881,931.59,8.302,3.09,3.716,1.5719999999999998,52.434,2637.5429999999997,0.031,14.692,0.013999999999999999,0.025,0.19699999999999998,3.471,9.933,773000000000.0,0.316,12.199000000000002,0.153,0.23399999999999999,2.1519999999999997,35.463,108.25299999999999,0.34,386.766,3047.5080000000003,2.2433780952647364,0.3532059350802914
125,Australia,2005,4.708,112.45700000000001,6.415,23.05,-1.768,-5.294,-0.385,-5.434,1.776,189.801,,0.006,0.08,0.08,3.964,,79.065,-0.5770000000000001,45.403999999999996,-3.701,638.129,8451.528,31623.44200000001,2501.29,123955.12400000001,215.7,3.83,170.543,195.75,21.684,15.155999999999999,0.0,3.523,3.83,0.0,19.95,0.079,0.885,1.702,69648.968,-0.649,96.029,-8.814,1349.6329999999996,66883.04,9700.694,90.751,10.052999999999999,-0.83,16.549,-1.946,232.59,1074.57,11526.34,382.353,18948.07,7.026,-2.033,2.96,-0.863,41.601000000000006,751.078,2061.589,9.249,19.95,988.6519999999999,6.445,3.971,3.3789999999999996,55.81399999999999,2765.928,0.0,,0.0,0.0,0.0,0.0,0.0,1.633,-0.657,34.076,-3.1660000000000004,478.913,174.59599999999998,23733.257999999998,294.078,14573.471000000001,189.801,1.776,36.631,0.741,2.792,10.413,516.007,10689.345,20179000.0,1405.4470000000001,988.6519999999999,9.249,6.445,3.971,3.3789999999999996,55.81399999999999,2765.928,0.037000000000000005,14.487,0.016,0.028999999999999998,0.226,3.915,11.204,826000000000.0,0.41,62.368,0.249,1.3419999999999999,3.4939999999999998,43.857,173.16400000000004,0.234,387.602,3177.721,2.354507484627303,0.35743720213566493
126,Australia,2006,2.221,55.552,6.4,24.469,-7.1770000000000005,-21.105999999999998,6.0429999999999975,84.93700000000003,1.778,190.49,1083.077,0.063,0.866,0.946,46.099,,77.295,2.708,43.976000000000006,17.283,655.413,8280.916,31930.862999999998,2556.843,124566.039,219.90200000000002,3.91,169.97400000000005,198.421,24.968000000000004,15.767000000000001,0.0,3.478,3.91,0.0,21.480999999999998,0.091,1.713,1.77,72609.558,6.1720000000000015,96.146,83.306,1432.9389999999999,69810.908,9666.805,90.23200000000001,11.354000000000001,11.54,17.407,26.840999999999998,259.431,1216.427,12639.133,406.82300000000004,19819.867,7.17,-3.9739999999999998,2.68,-1.653,39.948,768.148,1946.1960000000001,9.767999999999999,21.480999999999998,1046.526,2.923,3.8539999999999996,1.631,57.445,2798.6490000000013,0.0,,0.0,0.0,0.0,0.0,0.0,1.5819999999999999,8.181000000000001,34.763000000000005,39.181999999999995,518.095,169.46099999999996,25240.912999999997,272.972,13298.83,190.49,1.778,0.95,0.705,0.099,10.511,512.102,10713.331,20526000.0,1490.384,1046.526,9.767999999999999,2.923,3.8539999999999996,1.631,57.445,2798.6490000000013,0.040999999999999995,15.273,0.017,0.035,0.261,4.433,12.697000000000001,842000000000.0,0.779,65.39,0.38799999999999996,2.285,5.779,83.455,281.555,0.245,397.295,3236.638,2.2587409512896226,0.3739402907128557
127,Australia,2007,3.286,84.015,5.086,20.69,4.099,11.189,1.274,18.994,1.7209999999999999,188.851,281.327,0.239,2.662,3.608,172.50900000000001,,75.65100000000002,-0.867,43.04600000000001,-5.684,649.729,8301.351,31063.726000000002,2640.857,126260.15400000001,229.515,3.95,173.63099999999997,208.649,31.268,14.196,0.0,3.75,3.95,0.0,20.866,0.109,2.611,1.7209999999999999,72163.77900000001,1.321,96.19,18.936,1451.875,69414.543,9975.568000000001,90.90899999999999,13.623,11.86,19.226,30.768,290.198,1494.93,13874.469,427.51199999999994,20439.481,6.185,-13.232999999999999,2.296,-5.2860000000000005,34.661,678.715,1657.1670000000001,9.091000000000001,20.866,997.6089999999999,0.10099999999999999,3.81,0.057999999999999996,57.503,2749.236,0.0,,0.0,0.0,0.0,0.0,0.0,1.6340000000000001,-1.187,33.918,-6.148,511.94699999999995,179.287,24476.349,284.161,13585.828000000001,188.851,1.7209999999999999,8.03,0.752,0.8440000000000001,11.355,542.909,10973.177,20916000.0,1509.378,997.6089999999999,9.091000000000001,0.10099999999999999,3.81,0.057999999999999996,57.503,2749.236,0.047,15.937000000000001,0.02,0.042,0.302,5.211,14.446,877000000000.0,1.138,31.089000000000002,0.502,1.797,7.5760000000000005,124.833,362.20599999999996,0.262,401.926,3352.5299999999997,2.3091037451571244,0.3628680242769942
128,Australia,2008,3.02,79.766,-2.499,-10.683,-1.4169999999999998,-4.025,1.649,24.888,2.002,215.451,139.781,0.564,5.044,8.652000000000001,405.577,,74.473,4.231,44.14,27.491999999999997,677.221,8014.058000000001,31746.734,2720.6240000000007,127537.20599999999,229.554,4.596,170.956,209.94799999999998,33.69,11.79,0.0,5.3020000000000005,4.596,0.0,19.605999999999998,0.127,3.093,1.646,71923.196,1.605,96.148,23.296,1475.171,69152.966,9841.93,91.459,14.675999999999998,-1.671,18.598,-4.849,285.35,1579.3270000000002,13376.608,416.829,19540.098,5.136,-10.017999999999999,2.033,-3.472,31.189,552.691,1462.08,8.541,19.605999999999998,919.0889999999999,2.7680000000000002,3.852,1.5919999999999999,59.095,2770.23,0.0,,0.0,0.0,0.0,0.0,0.0,2.31,0.127,33.41,0.653,512.6,248.545,24029.624,280.13599999999997,13132.187,215.451,2.002,-14.079,0.636,-1.599,9.757,457.37800000000004,10761.018999999998,21332000.0,1534.266,919.0889999999999,8.541,2.7680000000000002,3.852,1.5919999999999999,59.095,2770.23,0.055,21.614,0.024,0.065,0.3670000000000001,5.952999999999999,17.225,932000000000.0,1.347,20.506999999999998,0.595,1.554,9.129,144.993,427.97,0.265,409.653,3417.589000000001,2.3167409066474334,0.3317708774007953
129,Australia,2009,3.7569999999999997,102.212,12.030999999999999,50.147,-7.2620000000000005,-20.343,-0.845,-12.964,1.199,129.41899999999998,46.76300000000001,0.835,4.046,12.698,583.769,,72.99600000000002,-3.312,43.041000000000004,-22.430999999999997,654.79,7877.993,30103.901,2822.836,129779.603,234.745,2.815,171.354,216.28,38.713,11.684000000000001,0.0,6.212999999999999,2.815,0.0,18.465,0.16,3.806,1.641,69941.698,-1.318,95.689,-19.447,1455.724,66926.746,9943.451,92.134,16.491,2.108,19.152,6.015,291.365,1779.8139999999999,13395.457,466.976,21469.188,4.977,6.337999999999999,2.18,1.9769999999999999,33.166,537.1709999999998,1524.799,7.8660000000000005,18.465,848.926,10.972000000000001,4.311,6.484,65.578,3014.9509999999996,0.0,,0.0,0.0,0.0,0.0,0.0,2.647,-0.591,33.496,-3.031,509.569,285.644,23427.389,259.793,11943.934,129.41899999999998,1.199,-25.066999999999997,0.48100000000000004,-2.4459999999999997,7.311,336.125,10792.377,21751000.0,1521.3020000000001,848.926,7.8660000000000005,10.972000000000001,4.311,6.484,65.578,3014.9509999999996,0.068,107.22,0.05,0.39399999999999996,0.7609999999999999,7.356,35.007,927000000000.0,1.621,27.524,0.765,2.513,11.642000000000001,174.98,535.251,0.353,401.321,3549.6049999999996,2.4383777419345973,0.28157308853578944
130,Australia,2010,3.258,91.956,15.66,73.13,9.635,25.031999999999996,0.381,5.801,1.163,125.344,50.896,1.255,6.462999999999999,19.16,864.82,,69.93,-7.2479999999999976,39.77,-47.46100000000001,607.3290000000002,7536.17,27412.706000000002,2914.792,131563.611,238.75900000000001,2.7769999999999997,166.96400000000003,217.03900000000002,44.383,13.502,0.0,5.692,2.7769999999999997,0.0,21.72,0.389,5.052,1.536,68928.146,-0.38,94.963,-5.534,1450.1889999999999,65456.527,9796.408000000001,90.90299999999999,18.589000000000002,15.95,22.123,46.472,337.837,2003.316,15248.771,540.107,24378.542,5.655,8.065,2.347,2.675,35.841,609.434,1617.731,9.097000000000001,21.72,980.3660000000001,17.285,5.037,11.335999999999999,76.914,3471.619,0.0,,0.0,0.0,0.0,0.0,0.0,2.384,-0.892,33.071,-4.545,505.024,256.922,22795.049,284.824,12855.983,125.344,1.163,-12.925999999999998,0.41700000000000004,-0.945,6.3660000000000005,287.34,10776.774,22155000.0,1527.1029999999994,980.3660000000001,9.097000000000001,17.285,5.037,11.335999999999999,76.914,3471.619,0.163,234.77200000000002,0.16699999999999998,1.788,2.549,17.558,115.057,994000000000.0,2.116,11.642999999999999,0.851,1.355,12.998,228.03,586.672,0.342,404.533,3739.723,2.5787831792959404,0.2823933224120446
131,Australia,2011,-2.195,-63.976000000000006,3.037,16.401,-12.239,-34.861,3.611,55.138999999999996,0.8759999999999999,93.265,5.537000000000001,1.278,1.061,20.221,897.199,,67.866,-2.525,37.415,-15.335999999999999,591.993,7228.68,26266.417999999998,2850.816,126489.291,240.06,2.102,162.92,213.787,46.213,16.694000000000006,0.0,4.654,2.102,0.0,26.273000000000003,1.392,6.085,1.536,70203.291,2.239,93.70700000000001,32.474000000000004,1482.664,65785.054,9485.625,89.056,19.25,4.438,22.299,14.995,352.83099999999996,2050.436,15654.943000000001,556.507,24691.95,6.954,41.515,3.2060000000000004,14.879000000000001,50.72,740.705,2250.429,10.944,26.273000000000003,1165.72,29.467,6.2929999999999975,22.664,99.57799999999999,4418.236,0.0,,0.0,0.0,0.0,0.0,0.0,1.939,6.4979999999999976,33.992,32.816,537.84,206.50900000000001,23863.694,249.963,11090.755,93.265,0.8759999999999999,4.78,0.42200000000000004,0.304,6.67,295.95799999999997,10651.345,22538000.0,1582.2420000000006,1165.72,10.944,29.467,6.2929999999999975,22.664,99.57799999999999,4418.236,0.58,107.854,0.335,2.7489999999999997,5.297999999999999,61.762,235.08599999999998,1030000000000.0,2.535,28.24,1.053,3.6710000000000003,16.668,269.988,739.565,0.394,405.344,3657.2859999999996,2.466699130753832,0.26384341922914706
132,Australia,2012,8.457,241.09599999999998,6.9639999999999995,38.754,-0.675,-1.686,-1.218,-19.266,1.2819999999999998,132.859,-10.95,1.1520000000000001,-2.214,18.007,786.192,,66.718,-6.35,35.471,-37.594,554.398,6914.026999999999,24205.313,3091.912000000001,134994.397,237.356,3.043,158.359,211.03799999999998,47.696999999999996,13.979000000000001,0.0,4.9830000000000005,3.0439999999999996,0.001,26.318,2.325,6.97,1.5319999999999998,68240.28,-1.057,93.859,-15.665999999999999,1466.9979999999994,64049.86,9214.044,88.912,20.095,0.305,22.643,1.0759999999999998,353.907,2082.455,15451.758999999998,595.261,25989.409,5.888999999999999,-13.485,2.8080000000000003,-6.84,43.881,610.33,1915.851,11.088,26.318,1149.057,-3.616,6.141,-3.6010000000000004,95.977,4190.42,0.0,,0.0,0.0,0.0,0.0,0.0,2.099,3.877,35.745,20.851999999999997,558.692,217.562,24392.787999999997,248.27700000000002,10839.903999999999,132.903,1.2819999999999998,19.625,0.511,1.3090000000000002,7.979,348.381,10363.101,22904000.0,1562.975,1149.057,11.088,-3.616,6.141,-3.6010000000000004,95.977,4190.42,0.98,17.257,0.397,0.914,6.212999999999999,101.51100000000001,271.251,1020000000000.0,2.937,19.375,1.273,3.2289999999999996,19.898,304.314,868.745,0.502,402.666,3935.450000000001,2.682655327410128,0.2742115298456922
133,Australia,2013,7.4979999999999976,231.834,3.82,22.741,-16.712,-41.493,0.7509999999999999,11.74,1.334,135.541,-5.2,1.084,-0.9359999999999999,17.070999999999998,734.059,,62.571999999999996,-5.091,33.414,-28.221999999999998,526.1759999999998,6356.06,22626.371,3323.7459999999996,142926.077,236.225,3.1519999999999997,147.81,203.52,50.133,18.116,0.0,5.577000000000001,3.153,0.001,32.705,3.4760000000000004,7.96,1.5590000000000002,67715.146,-0.021,93.14,-0.311,1466.6870000000001,63069.761,8751.681,86.155,21.223000000000006,5.037,23.605999999999998,17.828,371.735,2155.808,15985.17,618.002,26575.015,7.669,11.376,3.1039999999999996,4.992,48.872,779.015,2101.59,13.845,32.705,1406.364,12.556,6.86,12.050999999999998,108.02799999999999,4645.385,0.0,,0.0,0.0,0.0,0.0,0.0,2.3609999999999998,1.805,36.119,10.083,568.776,239.813,24458.22,206.78400000000002,8892.033000000001,135.584,1.335,6.899,0.542,0.551,8.53,366.796,10158.045,23255000.0,1574.7160000000001,1406.364,13.845,12.556,6.86,12.050999999999998,108.02799999999999,4645.385,1.4709999999999999,58.55,0.626,3.638,9.85,149.47299999999996,423.577,1010000000000.0,3.37,19.136,1.505,3.8080000000000003,23.705,342.292,1019.363,0.601,393.171,4148.531999999999,2.828505332085168,0.3027455844780983
134,Australia,2014,7.0920000000000005,235.707,7.837999999999999,48.44,7.222,14.935,1.44,22.682,1.496,148.796,-4.126,1.025,-0.7040000000000001,16.366,693.5980000000003,,61.122,-0.828,32.667,-4.356,521.82,6079.385,22114.762000000002,3559.452,150849.824,234.69299999999998,3.511,143.44899999999996,198.581,49.583999999999996,18.338,0.0,5.547999999999999,3.512,0.001,36.111999999999995,4.01,10.252,1.5659999999999998,67697.82400000001,2.112,93.756,30.975,1497.662,63471.012,8415.86,84.613,21.127,7.872000000000001,25.103,29.264,400.999,2101.357,16994.384,666.442,28243.843999999997,7.814,-24.57800000000001,2.3080000000000003,-12.012,36.861,777.166,1562.151,15.387,36.111999999999995,1530.4289999999999,-7.676,6.244,-8.293,99.736,4226.812,0.0,,0.0,0.0,0.0,0.0,0.0,2.364,1.067,35.986,6.067,574.8430000000002,235.118,24361.866,221.71900000000002,9396.473,148.839,1.496,5.807,0.565,0.495,9.025,382.48800000000006,9946.289,23596000.0,1597.398,1530.4289999999999,15.387,-7.676,6.244,-8.293,99.736,4226.812,1.709,27.94,0.789,2.752,12.602,169.94400000000005,534.091,1020000000000.0,4.368,4.962,1.558,1.176,24.881999999999998,434.48,1054.484,0.191,399.254,4447.613,2.9697041121427934,0.36207588032405547
135,Australia,2015,-0.105,-3.747,14.097000000000001,93.948,-11.048,-24.496,1.5019999999999998,23.989,1.515,150.76,-9.185,0.917,-1.5030000000000001,14.863,621.049,,63.56399999999999,3.551,33.326,18.531,540.351,6327.189,22578.603,3555.705,148575.358,238.222,3.608,151.422,204.799,47.50899999999999,13.324000000000002,0.0,5.867000000000001,3.609,0.001,33.423,5.023,11.467,1.544,67749.728,1.22,93.49600000000001,18.275,1515.9370000000001,63343.515,8557.527,85.97,19.942999999999998,5.005,25.97,20.070999999999998,421.07,1985.1670000000001,17594.436,760.39,31772.94100000001,5.593,-3.332,2.198,-1.228,35.632,556.744,1488.9029999999998,14.03,33.423,1396.582,5.729,6.504,5.7139999999999995,105.449,4406.212,0.0,,0.0,0.0,0.0,0.0,0.0,2.463,-3.536,34.2,-20.327,554.516,245.171,23170.47700000001,197.22299999999998,8240.966,150.80200000000005,1.515,3.096,0.574,0.27899999999999997,9.305,388.79400000000004,9954.109,23932000.0,1621.386,1396.582,14.03,5.729,6.504,5.7139999999999995,105.449,4406.212,2.109,24.587,0.968,3.0989999999999998,15.700999999999999,209.886,656.064,1050000000000.0,4.814,20.364,1.847,5.067,29.949,479.149,1251.401,0.16899999999999998,403.279,4513.318,2.9772464159130623,0.31695890904607915
